"tag","day","rate"
"other",-145,2
"other",-77,30
"other",-61,91
"other",-58,0
"other",-29,42
"other",-22,18
"other",-21,31
"other",-21,4
"other",-14,5
"other",-12,0
"other",-12,13
"other",-9,21
"other",-8,0
"other",-7,29
"other",-6,2
"other",-6,19
"pos",-3,18
"other",-3,10
"other",-3,28
"other",-1,23
"other",-1,50
"other",-1,10
"other",-1,0
"other",-1,15
"other",-1,29
"pos",-1,11
"other",0,55
"pos",0,64
"other",0,17
"pos",0,17
"neg",0,42
"neg",0,4
"neg",0,19
"neg",0,9
"other",0,48
"pos",0,1
"other",0,4
"other",0,2
"poor",0,0
"pos",0,0
"pos",0,13
"neg",0,13
"other",0,5
"neg",0,6
"pos",0,4
"pos",0,7
"other",0,6
"pos",0,11
"other",0,24
"other",0,21
"neg",0,1
"pos",0,14
"other",0,63
"other",0,7
"pos",0,3
"neg",0,40
"neg",0,1
"neg",0,14
"pos",0,5
"poor",0,4
"neg",0,17
"other",0,6
"poor",0,9
"neg",0,5
"neg",0,8
"other",0,2
"neg",0,3
"neg",0,0
"neg",0,1
"other",0,2
"poor",0,5
"other",0,0
"neg",0,13
"pos",0,7
"pos",0,43
"poor",0,5
"other",0,11
"poor",0,5
"neg",0,0
"pos",0,15
"poor",1,7
"neg",1,21
"neg",1,34
"poor",1,2
"neg",1,6
"pos",1,5
"other",1,1
"poor",1,12
"other",1,6
"neg",1,1
"other",1,7
"other",1,9
"other",1,6
"neg",1,7
"other",1,29
"neg",1,15
"pos",1,6
"other",1,4
"pos",1,2
"poor",1,1
"pos",1,2
"other",1,9
"poor",1,2
"other",1,27
"other",1,3
"pos",1,2
"poor",1,2
"other",1,1
"poor",1,4
"neg",1,9
"other",1,21
"poor",1,0
"poor",1,2
"poor",1,7
"pos",1,5
"other",2,11
"other",2,2
"poor",2,2
"neg",2,0
"other",2,3
"poor",2,4
"neg",2,4
"poor",2,3
"other",2,2
"other",2,10
"poor",2,11
"other",2,48
"pos",2,17
"neg",2,12
"other",2,34
"other",2,26
"neg",2,13
"neg",2,15
"neg",2,1
"other",2,6
"neg",2,3
"other",2,5
"poor",2,6
"neg",2,1
"poor",2,14
"neg",3,2
"other",3,49
"neg",3,6
"neg",3,2
"neg",3,34
"other",3,10
"other",3,7
"poor",3,12
"other",3,7
"other",3,13
"other",3,2
"pos",3,8
"pos",3,23
"poor",3,1
"poor",3,5
"poor",3,0
"pos",3,17
"other",3,62
"poor",3,3
"other",3,8
"other",3,0
"other",4,3
"other",4,4
"neg",4,2
"other",4,4
"other",4,23
"neg",4,17
"other",4,24
"other",4,1
"neg",4,37
"other",4,39
"other",4,4
"neg",4,9
"neg",4,0
"neg",4,11
"pos",4,9
"other",4,10
"neg",4,0
"pos",4,3
"other",4,8
"neg",4,32
"neg",4,0
"other",4,23
"other",4,6
"poor",4,1
"neg",4,19
"neg",4,3
"poor",5,4
"neg",5,5
"pos",5,9
"neg",5,8
"other",5,13
"neg",5,0
"neg",5,0
"neg",5,6
"pos",5,0
"other",5,21
"neg",5,8
"neg",5,13
"other",5,51
"neg",5,4
"neg",6,14
"other",6,2
"neg",6,6
"neg",6,9
"neg",6,2
"neg",6,9
"other",6,43
"neg",6,7
"neg",7,1
"other",7,8
"neg",8,7
"neg",8,23
"poor",8,10
"neg",8,7
"other",8,11
"neg",8,0
"pos",8,0
"other",8,3
"other",8,1
"pos",9,6
"neg",9,15
"neg",9,0
"other",9,5
"neg",10,9
"other",10,25
"other",10,5
"neg",10,1
"other",10,0
"other",10,3
"poor",11,5
"other",12,8
"other",13,21
"other",13,8
"neg",14,9
"other",14,28
"poor",14,7
"poor",14,5
"neg",15,13
"pos",15,6
"poor",15,1
"neg",16,5
"other",16,5
"neg",20,1
"pos",21,3
"other",29,2
"poor",38,4
"neg",41,0
"neg",50,7
"other",69,27
"other",78,0
"other",91,13
"other",91,12
"other",91,0
"other",92,1
"poor",140,23
"other",145,5
"neg",176,0
"neg",176,14
"neg",176,11
"poor",-173,8
