"tag","day","rate"
"other",-32,69
"other",-32,4
"other",-22,31
"other",-21,13
"other",-21,45
"other",-20,10
"other",-20,13
"other",-20,16
"other",-20,23
"other",-20,46
"other",-20,36
"other",-19,9
"other",-19,16
"other",-19,9
"other",-19,44
"other",-16,15
"other",-7,7
"other",-5,73
"other",-2,53
"other",-1,5
"pos",-1,53
"pos",0,37
"pos",0,15
"pos",0,15
"pos",0,20
"pos",0,12
"pos",0,13
"other",0,7
"other",0,13
"other",0,10
"other",0,13
"other",0,4
"pos",0,17
"other",0,5
"pos",0,19
"pos",0,4
"pos",0,12
"pos",0,11
"other",0,32
"pos",0,4
"other",0,0
"pos",0,6
"other",0,28
"other",0,19
"pos",0,0
"other",0,6
"poor",0,18
"pos",0,27
"other",0,3
"other",0,4
"other",0,16
"neg",0,-30
"poor",0,39
"other",0,14
"poor",0,0
"pos",0,0
"poor",0,25
"neg",1,7
"other",1,11
"pos",1,8
"poor",1,19
"pos",1,1
"other",1,19
"other",1,7
"other",1,18
"pos",1,9
"other",1,10
"poor",1,8
"poor",1,5
"other",1,14
"other",1,3
"other",1,9
"other",1,0
"other",1,4
"pos",1,34
"pos",1,13
"other",1,49
"neg",1,1
"other",1,-20
"other",1,33
"other",1,7
"other",1,18
"other",1,20
"other",1,13
"pos",1,1
"neg",1,-40
"neg",1,15
"neg",1,5
"neg",2,1
"neg",2,32
"pos",2,6
"other",2,7
"other",2,5
"neg",2,1
"other",2,58
"neg",2,32
"neg",2,14
"other",2,5
"other",2,9
"other",2,70
"other",2,3
"other",2,9
"other",2,3
"other",2,35
"other",2,39
"other",2,5
"other",2,15
"neg",2,4
"other",2,8
"other",2,4
"other",2,11
"other",2,0
"other",2,8
"pos",2,2
"other",2,20
"other",2,13
"other",2,3
"pos",2,0
"other",2,31
"other",2,7
"other",2,1
"other",2,31
"other",2,15
"neg",2,-10
"other",2,6
"other",2,-10
"other",2,20
"other",2,9
"other",2,4
"other",2,7
"other",2,5
"other",2,26
"other",2,2
"other",2,9
"other",2,23
"other",2,0
"other",2,3
"other",2,16
"pos",2,1
"pos",3,6
"pos",3,4
"other",3,4
"other",3,4
"pos",3,5
"other",3,13
"other",3,76
"other",3,0
"poor",3,7
"pos",3,5
"other",3,39
"other",3,5
"other",3,5
"other",3,2
"other",3,69
"other",3,11
"other",3,3
"other",3,8
"other",3,4
"other",3,-30
"other",3,10
"poor",3,3
"other",3,-40
"other",3,25
"poor",3,16
"other",3,29
"other",3,14
"other",3,11
"other",3,32
"pos",3,4
"other",3,10
"neg",3,41
"poor",3,6
"pos",3,24
"pos",3,1
"other",3,5
"pos",3,2
"neg",3,66
"pos",4,1
"other",4,4
"other",4,2
"other",4,55
"pos",4,17
"pos",4,16
"pos",4,3
"other",4,18
"pos",4,3
"other",4,9
"other",4,25
"poor",4,8
"other",4,47
"neg",4,63
"pos",4,3
"poor",4,7
"pos",4,1
"other",4,0
"other",4,0
"other",4,36
"pos",4,12
"other",4,5
"poor",4,29
"pos",4,17
"pos",4,2
"pos",4,1
"pos",4,25
"neg",5,0
"pos",5,1
"other",5,22
"other",5,4
"other",5,9
"other",5,79
"other",5,30
"other",5,2
"other",5,17
"other",5,16
"other",5,3
"other",5,2
"other",5,10
"other",5,1
"other",5,100
"other",5,4
"pos",5,16
"pos",5,2
"other",5,1
"pos",5,5
"other",6,0
"other",6,14
"other",6,65
"other",6,30
"other",6,-10
"other",6,19
"other",6,59
"other",6,11
"other",6,17
"other",6,25
"neg",6,0
"other",7,0
"neg",7,0
"other",7,8
"pos",7,6
"pos",7,13
"pos",7,17
"other",7,24
"pos",7,4
"other",7,59
"other",7,26
"other",7,12
"other",7,1
"other",7,31
"other",8,21
"other",8,11
"other",8,19
"other",8,58
"other",8,6
"other",8,16
"other",8,1
"other",8,7
"other",8,18
"other",8,5
"other",9,11
"other",10,4
"poor",10,1
"other",10,23
"poor",11,0
"other",11,13
"other",11,36
"other",11,5
"other",11,8
"other",11,0
"other",11,13
"other",11,2
"other",11,2
"neg",12,37
"other",12,10
"other",12,7
"poor",12,7
"other",12,32
"other",13,6
"other",13,24
"other",13,35
"other",13,79
"poor",14,12
"poor",14,5
"pos",14,7
"pos",15,3
"other",15,2
"other",15,11
"pos",15,0
"other",16,29
"other",16,53
"neg",18,-10
"other",18,21
"neg",20,6
"other",21,2
"other",22,0
"other",22,9
"other",23,27
"pos",23,5
"other",27,47
"other",28,20
"other",28,39
"other",29,9
"other",29,17
"neg",34,31
"other",34,10
"neg",34,35
"other",35,12
"other",35,2
"pos",45,9
"other",46,0
"other",46,1
"other",49,23
"other",49,18
"other",50,8
"other",50,2
"other",59,48
"other",63,34
"other",63,26
"other",66,35
"other",66,16
"other",66,3
"other",67,1
"other",70,15
"pos",73,7
"other",79,0
"other",80,42
"other",80,6
"pos",84,0
"other",91,32
"other",92,32
"other",93,20
"other",93,27
"other",97,8
"other",103,1
"other",105,2
"other",108,32
"other",114,52
"other",118,26
"other",120,11
"other",136,14
"other",137,6
"other",139,10
"other",147,27
"other",153,8
"other",181,8
"other",203,100
"other",203,3
"other",217,9
"other",240,27
"other",254,16
"other",257,28
"other",257,19
"other",257,14
"other",259,32
"other",268,6
"other",270,2
"other",275,38
"other",280,8
"other",283,28
"other",284,9
"other",287,7
"other",291,12
"other",304,5
"other",306,10
"other",307,6
"other",307,37
"other",313,7
"other",324,7
"other",325,3
"other",-39,5
