"tag","day","rate"
"other",-170,1
"other",-127,24
"other",-125,4
"other",-121,1
"other",-43,17
"other",-43,2
"other",-35,-10
"other",-23,27
"pos",-19,14
"other",-17,43
"pos",-15,5
"other",-10,4
"other",-6,4
"pos",-6,17
"pos",-6,11
"other",-6,21
"other",-6,14
"other",-6,21
"pos",-5,12
"pos",-5,8
"other",-5,19
"other",-5,18
"other",-4,6
"pos",-4,1
"pos",-3,15
"pos",0,3
"pos",0,13
"pos",1,0
"pos",1,4
"pos",1,5
"other",1,60
"pos",1,9
"poor",2,2
"pos",2,9
"pos",2,0
"pos",2,9
"other",3,29
"pos",3,7
"neg",6,19
"pos",6,1
"pos",6,5
"other",7,13
"other",7,5
"other",7,0
"pos",8,3
"pos",8,8
"other",8,5
"other",12,5
"neg",12,12
"other",14,0
"other",16,10
"other",19,14
"other",20,15
"other",21,49
"pos",22,4
"poor",23,0
"other",29,11
"pos",59,2
"pos",145,17
