"tag","day","rate"
"other",-197,88
"other",-192,12
"other",-168,4
"other",-168,9
"other",-152,6
"other",-148,13
"other",-125,28
"other",-118,43
"other",-118,8
"other",-115,100
"other",-115,15
"other",-115,9
"other",-115,14
"other",-109,5
"other",-88,12
"other",-73,57
"other",-70,27
"other",-63,59
"other",-63,1
"other",-60,13
"other",-59,23
"other",-58,9
"other",-57,11
"other",-46,3
"other",-44,9
"other",-41,14
"other",-40,6
"other",-40,6
"other",-39,7
"other",-37,13
"other",-34,5
"other",-29,7
"other",-25,9
"other",-23,4
"other",-18,43
"other",-16,14
"other",-15,8
"other",-15,100
"other",-14,6
"other",-14,16
"other",-14,19
"other",-13,100
"other",-11,28
"other",-10,29
"other",-10,47
"other",-10,25
"other",-10,6
"other",-8,17
"other",-5,9
"other",-5,19
"other",-5,8
"other",-5,26
"other",-4,3
"other",-4,6
"other",-4,13
"other",-3,17
"other",-2,21
"pos",-2,72
"pos",-1,23
"other",-1,100
"pos",-1,1
"pos",-1,15
"poor",-1,26
"pos",-1,8
"other",-1,10
"other",-1,97
"neg",-1,22
"pos",-1,25
"other",-1,50
"poor",-1,20
"pos",-1,14
"other",-1,6
"other",-1,83
"other",-1,82
"neg",0,10
"other",0,16
"pos",0,8
"pos",0,5
"other",0,20
"poor",0,6
"poor",0,66
"pos",0,23
"other",0,44
"neg",0,25
"pos",0,18
"poor",0,11
"poor",0,3
"neg",0,0
"pos",0,5
"neg",0,17
"neg",0,-20
"poor",0,12
"poor",0,10
"poor",0,19
"poor",0,12
"poor",0,2
"neg",0,12
"other",0,18
"other",0,12
"neg",0,62
"pos",0,8
"poor",0,9
"neg",0,0
"other",0,23
"poor",0,7
"pos",0,6
"pos",0,15
"other",0,57
"poor",0,7
"pos",0,4
"poor",0,1
"pos",0,4
"neg",0,27
"pos",0,5
"poor",0,3
"pos",0,3
"pos",0,3
"other",0,46
"other",0,30
"pos",0,8
"pos",0,13
"poor",0,2
"pos",0,2
"other",0,4
"pos",0,24
"other",0,16
"pos",0,6
"neg",1,9
"other",1,7
"other",1,3
"other",1,27
"poor",1,1
"pos",1,12
"poor",1,1
"pos",1,6
"other",1,7
"other",1,6
"other",1,7
"neg",1,23
"other",1,11
"other",1,2
"poor",1,14
"neg",1,0
"poor",1,8
"neg",1,32
"other",1,74
"pos",1,35
"neg",1,37
"other",1,21
"other",1,0
"pos",1,8
"neg",1,2
"poor",1,5
"poor",1,7
"other",1,35
"other",1,31
"neg",1,25
"other",1,100
"other",1,9
"poor",1,0
"pos",1,43
"other",1,37
"other",1,32
"other",1,3
"pos",1,24
"pos",1,1
"pos",1,54
"other",1,6
"other",1,23
"other",1,27
"other",1,12
"other",1,12
"other",1,0
"other",1,18
"other",1,41
"neg",1,1
"other",1,29
"pos",1,5
"poor",2,10
"other",2,13
"other",2,9
"poor",2,8
"other",2,22
"pos",2,2
"neg",2,19
"pos",2,10
"neg",2,9
"other",2,9
"poor",2,8
"neg",2,4
"pos",2,14
"pos",2,5
"other",2,8
"other",2,18
"other",2,5
"other",2,52
"other",2,10
"neg",2,20
"other",2,0
"other",2,14
"poor",2,4
"neg",2,30
"poor",2,12
"pos",2,10
"other",2,15
"other",2,2
"neg",2,19
"neg",2,10
"neg",2,1
"other",3,18
"other",3,16
"other",3,2
"neg",3,16
"other",3,29
"other",3,4
"neg",3,10
"pos",3,2
"poor",3,11
"neg",3,54
"neg",3,11
"neg",3,3
"neg",3,0
"neg",3,15
"pos",3,9
"other",3,7
"neg",3,1
"other",3,45
"pos",3,4
"pos",3,27
"other",3,7
"neg",3,15
"other",3,45
"other",3,15
"other",3,59
"pos",3,-40
"other",3,9
"other",3,27
"pos",4,1
"other",4,100
"neg",4,3
"pos",4,5
"other",4,37
"pos",4,25
"other",4,11
"other",4,16
"other",4,0
"other",4,18
"other",4,2
"other",4,25
"other",5,0
"other",5,7
"neg",5,11
"other",5,13
"other",5,39
"other",5,62
"other",5,21
"other",5,29
"pos",5,61
"pos",5,2
"other",5,14
"other",5,60
"other",5,18
"poor",5,2
"poor",5,6
"neg",5,100
"other",5,5
"other",5,0
"pos",5,7
"other",6,7
"other",6,11
"other",6,21
"other",6,10
"other",6,5
"poor",6,11
"other",6,100
"other",6,11
"neg",6,15
"other",7,11
"other",7,12
"other",7,9
"poor",7,10
"pos",7,75
"pos",7,9
"other",7,10
"other",7,42
"other",7,24
"other",7,38
"other",7,54
"other",7,31
"other",8,20
"other",8,4
"other",8,22
"poor",8,1
"neg",8,14
"poor",8,1
"pos",8,10
"pos",8,20
"poor",9,29
"poor",9,4
"other",9,29
"other",9,0
"other",9,83
"neg",9,8
"pos",9,44
"pos",10,17
"other",10,4
"pos",10,48
"neg",10,35
"other",10,19
"neg",10,1
"other",10,5
"other",10,8
"neg",10,-10
"other",11,100
"other",11,13
"other",11,6
"other",11,19
"other",11,9
"other",12,26
"neg",12,0
"other",13,16
"other",13,44
"other",13,24
"neg",13,45
"other",13,8
"neg",13,10
"other",13,0
"poor",14,12
"neg",14,97
"other",15,2
"other",15,34
"other",15,11
"other",17,20
"other",17,39
"other",17,26
"poor",17,25
"other",17,8
"neg",18,17
"other",18,99
"other",18,7
"other",18,11
"neg",19,35
"neg",19,6
"other",19,35
"poor",19,18
"pos",20,5
"other",20,6
"other",20,0
"other",20,13
"poor",21,2
"other",21,49
"other",23,74
"other",23,2
"neg",23,5
"neg",23,0
"neg",24,0
"other",24,70
"other",28,2
"other",31,7
"other",33,47
"other",39,57
"other",39,5
"other",40,6
"other",44,42
"other",46,7
"other",63,-20
"other",63,2
"other",63,23
"other",69,18
"other",80,23
"other",85,-10
"other",94,9
"other",95,8
"neg",95,16
"neg",95,0
"neg",102,35
"other",110,12
"other",110,5
"other",112,9
"other",118,10
"other",121,5
"other",124,13
"other",125,20
"other",125,71
"other",138,6
"other",139,27
