"tag","day","rate"
"other",-33,5
"other",-21,93
"other",-4,2
"pos",-3,1
"other",-2,18
"pos",-1,10
"pos",-1,0
"pos",-1,11
"other",0,1
"pos",0,6
"pos",0,3
"pos",0,11
"other",0,10
"pos",0,29
"pos",1,10
"pos",1,4
"pos",1,2
"other",1,6
"other",1,8
"other",1,0
"neg",1,9
"other",1,11
"pos",1,20
"other",2,61
"other",2,2
"other",3,2
"pos",3,5
"pos",3,5
"pos",3,18
"other",4,17
"other",4,3
"pos",4,5
"other",4,7
"other",5,15
"other",5,0
"pos",5,19
"pos",6,9
"other",6,4
"pos",6,2
"neg",6,-30
"pos",8,3
"pos",8,3
"other",8,11
"pos",8,28
"other",8,7
"pos",8,4
"other",9,13
"pos",9,11
"other",9,43
"other",9,3
"pos",9,11
"pos",9,5
"other",9,37
"pos",9,6
"pos",10,8
"pos",10,0
"pos",11,3
"pos",12,27
"pos",15,6
"pos",16,31
"other",16,12
"poor",16,21
"pos",17,3
"pos",17,2
"pos",20,2
"pos",24,11
"other",24,22
"other",25,19
"other",29,4
"pos",31,6
"pos",33,0
"pos",54,8
"other",60,8
"other",93,8
"pos",104,1
"other",108,2
