"tag","day","rate"
"poor",-39,1
"other",-32,100
"other",-22,4
"other",-8,5
"other",-2,1
"poor",0,5
"other",0,28
"poor",0,21
"other",1,63
"pos",1,4
"pos",1,29
"pos",2,17
"pos",2,11
"other",2,47
"other",2,0
"pos",2,19
"pos",3,6
"other",3,59
"other",3,10
"pos",3,22
"other",4,12
"other",4,3
"pos",4,3
"pos",4,11
"other",5,18
"other",6,18
"other",6,5
"poor",6,8
"pos",6,1
"other",7,40
"poor",7,-60
"pos",7,8
"pos",7,3
"other",7,0
"other",7,32
"other",7,16
"pos",8,14
"pos",8,10
"other",8,6
"pos",9,5
"poor",9,2
"pos",10,100
"pos",10,9
"other",10,9
"pos",10,4
"pos",10,0
"pos",10,3
"poor",11,23
"poor",11,9
"poor",11,45
"poor",11,26
"poor",11,-10
"pos",12,4
"poor",12,13
"poor",12,29
"poor",12,15
"poor",12,6
"poor",12,0
"poor",12,54
"poor",12,4
"poor",12,6
"poor",12,4
"poor",12,78
"other",12,49
"other",13,10
"other",14,15
"neg",14,24
"other",14,25
"pos",15,2
"pos",15,9
"other",15,2
"pos",15,2
"other",16,38
"other",17,35
"poor",18,5
"other",18,10
"pos",18,21
"other",19,10
"pos",19,17
"other",22,37
"other",22,0
"pos",23,2
"pos",23,5
"poor",26,6
"other",27,0
"pos",36,1
"other",42,1
"other",58,5
"pos",67,2
"pos",154,28
"poor",176,1
"other",248,5
