"tag","day","rate"
"other",-82,52
"other",-78,26
"other",-73,46
"other",-72,7
"other",-57,0
"other",-49,30
"other",-41,21
"other",-19,6
"other",-17,5
"other",-17,6
"other",-16,34
"other",-16,100
"other",-13,28
"other",-13,67
"other",-12,31
"other",-12,60
"other",-12,0
"other",-12,0
"other",-12,3
"other",-12,34
"other",-12,22
"other",-12,50
"neg",-11,42
"other",-11,35
"other",-11,43
"other",-11,0
"other",-10,32
"other",-10,37
"other",-10,50
"other",-9,0
"pos",-7,31
"other",-7,16
"other",-7,16
"other",-7,6
"other",-7,3
"pos",-6,1
"other",-3,21
"other",-2,27
"poor",-2,3
"poor",-1,9
"other",-1,25
"pos",-1,5
"pos",0,3
"poor",0,6
"poor",0,3
"other",0,20
"poor",0,12
"pos",0,4
"pos",0,26
"pos",0,13
"poor",0,3
"neg",0,26
"other",0,7
"poor",0,8
"pos",0,6
"poor",0,5
"poor",0,10
"pos",0,5
"pos",0,53
"other",0,4
"pos",0,4
"pos",0,3
"other",0,10
"pos",0,43
"pos",0,13
"other",0,18
"other",0,8
"other",0,5
"pos",0,18
"pos",1,20
"pos",1,8
"neg",1,0
"other",1,3
"pos",1,17
"poor",1,3
"pos",1,3
"other",1,40
"pos",1,3
"neg",1,8
"poor",1,2
"other",1,3
"neg",1,-50
"pos",1,15
"other",1,13
"other",1,27
"neg",1,0
"other",1,38
"pos",1,5
"other",1,0
"other",1,0
"poor",1,9
"pos",1,6
"other",1,10
"other",1,19
"pos",1,67
"poor",1,10
"pos",1,9
"pos",1,8
"other",1,8
"poor",1,4
"poor",1,3
"pos",1,0
"neg",1,12
"other",2,6
"other",2,18
"pos",2,4
"other",2,19
"other",2,35
"other",2,11
"other",2,26
"other",2,9
"other",2,19
"neg",2,4
"poor",2,15
"other",2,23
"other",2,38
"other",2,13
"other",2,1
"other",2,0
"other",2,-10
"pos",2,5
"pos",2,17
"pos",2,8
"pos",2,6
"other",2,5
"poor",2,6
"pos",2,5
"pos",3,19
"neg",3,10
"poor",3,8
"pos",3,100
"pos",3,30
"other",3,56
"other",3,11
"neg",3,13
"pos",3,13
"pos",3,4
"neg",3,6
"pos",3,2
"neg",3,2
"neg",3,12
"other",3,24
"pos",3,8
"pos",3,25
"pos",4,28
"other",4,0
"pos",4,7
"pos",4,9
"pos",4,8
"poor",4,-70
"poor",4,2
"poor",4,26
"poor",4,0
"poor",4,14
"pos",4,8
"poor",4,12
"neg",4,6
"pos",4,5
"pos",4,25
"pos",4,8
"pos",4,6
"other",4,0
"pos",4,3
"pos",4,4
"pos",4,8
"pos",5,26
"pos",5,2
"pos",5,10
"pos",5,13
"pos",5,21
"other",5,5
"pos",5,11
"other",5,32
"other",5,-10
"other",5,11
"pos",5,11
"other",5,21
"neg",5,65
"pos",5,3
"neg",5,-30
"pos",6,23
"other",6,31
"other",6,28
"other",7,6
"other",7,21
"other",7,45
"poor",7,4
"other",7,13
"other",8,32
"other",8,13
"other",8,6
"poor",8,1
"poor",8,12
"other",8,34
"other",9,42
"other",10,17
"other",10,27
"other",10,4
"pos",10,32
"pos",11,22
"other",11,43
"other",11,12
"pos",12,51
"other",13,17
"other",14,16
"other",14,21
"other",14,11
"pos",15,6
"pos",15,14
"other",16,9
"other",16,58
"other",16,34
"neg",17,0
"other",17,14
"neg",17,-40
"other",22,5
"pos",25,16
"other",25,23
"other",25,29
"pos",26,14
"other",27,19
"pos",28,20
"other",31,0
"other",33,1
"other",62,1
"other",108,10
"other",112,6
"other",144,16
