"tag","day","rate"
"poor",-7,22
"pos",-5,11
"other",-3,0
"other",-3,34
"other",-2,0
"other",-2,25
"pos",-2,11
"other",0,9
"other",0,12
"other",0,28
"other",0,13
"pos",0,7
"poor",0,39
"pos",0,3
"other",0,5
"poor",0,5
"pos",0,2
"poor",0,32
"neg",1,0
"other",1,11
"other",1,47
"pos",1,15
"poor",1,9
"poor",1,4
"other",1,19
"poor",1,5
"other",1,33
"other",1,20
"pos",1,7
"other",2,4
"neg",2,48
"pos",2,14
"other",2,4
"poor",2,0
"pos",2,6
"other",2,7
"other",2,1
"other",2,6
"pos",2,6
"other",2,1
"other",2,8
"other",2,20
"other",2,3
"other",2,35
"pos",2,40
"other",2,9
"other",2,16
"pos",3,0
"other",3,0
"other",3,15
"pos",3,14
"pos",3,0
"pos",3,9
"other",3,19
"pos",3,23
"pos",4,7
"other",4,9
"other",4,12
"other",4,12
"pos",4,2
"pos",4,1
"neg",4,3
"neg",5,11
"neg",5,10
"other",5,23
"pos",5,14
"other",5,20
"neg",5,8
"pos",6,4
"other",6,23
"other",6,1
"pos",6,1
"other",6,71
"other",7,43
"other",7,3
"other",7,2
"other",7,6
"other",7,2
"neg",7,1
"poor",7,10
"pos",8,4
"other",8,24
"pos",8,18
"poor",8,3
"neg",9,7
"other",9,1
"pos",9,5
"other",9,0
"other",9,4
"other",10,1
"pos",10,1
"poor",10,5
"pos",10,8
"other",10,3
"poor",10,9
"pos",10,2
"other",11,9
"other",11,8
"other",12,5
"other",15,12
"neg",15,9
"pos",15,3
"neg",15,3
"neg",15,21
"poor",16,1
"neg",16,73
"neg",16,3
"other",16,52
"other",17,22
"poor",18,1
"other",18,6
"pos",19,3
"pos",19,0
"other",20,53
"neg",20,0
"pos",21,5
"pos",21,2
"pos",22,2
"neg",23,55
"neg",26,5
"neg",27,15
"pos",28,27
"other",29,2
"other",29,55
"other",29,21
"other",30,7
"other",31,2
"other",38,8
"other",38,17
"other",38,21
"pos",39,18
"other",42,27
"other",42,4
"other",45,22
"pos",49,1
"other",50,16
"other",51,4
"other",51,0
"other",51,1
"other",52,23
"other",52,12
"other",52,12
"other",52,100
"other",52,5
"other",52,1
"other",52,6
"other",52,25
"other",52,0
"pos",56,0
"other",57,10
"other",61,19
"other",65,-20
"other",67,76
"other",68,33
"other",82,4
"pos",87,2
"other",108,8
"other",114,9
"poor",119,4
"poor",121,1
"other",123,5
"other",127,1
"other",135,0
"pos",142,4
"other",149,0
"other",219,1
