"tag","day","rate"
"other",-100,30
"other",-62,100
"other",-36,29
"other",-35,2
"other",-32,32
"other",-26,5
"other",-23,100
"other",-23,38
"other",-23,15
"other",-21,18
"other",-20,13
"other",-19,17
"other",-18,51
"other",-18,6
"other",-16,0
"other",-16,4
"other",-15,6
"other",-14,74
"other",-13,41
"other",-10,82
"other",-10,53
"other",-9,53
"other",-8,100
"other",-8,69
"other",-8,16
"other",-8,17
"other",-8,100
"other",-8,35
"other",-8,49
"other",-8,-10
"other",-8,44
"other",-7,2
"other",-7,20
"other",-6,27
"other",-3,-10
"other",-3,42
"other",-2,11
"other",-1,33
"pos",-1,20
"other",-1,55
"other",-1,55
"other",-1,12
"other",-1,12
"other",-1,13
"neg",0,14
"other",0,5
"pos",0,21
"poor",0,23
"other",0,4
"other",0,4
"pos",0,1
"pos",0,9
"pos",0,8
"poor",0,1
"pos",0,8
"poor",0,4
"poor",0,8
"pos",0,4
"other",0,7
"pos",0,17
"neg",0,9
"pos",0,8
"pos",0,16
"pos",0,10
"poor",0,21
"pos",0,1
"pos",0,15
"pos",0,5
"neg",0,31
"other",0,2
"poor",0,18
"other",0,41
"pos",0,5
"pos",0,7
"other",0,9
"other",0,6
"other",0,7
"other",0,4
"poor",0,1
"pos",0,13
"other",0,3
"other",0,4
"poor",0,7
"other",0,9
"pos",0,15
"other",0,0
"other",0,17
"other",0,4
"poor",0,2
"pos",1,13
"poor",1,5
"other",1,41
"poor",1,3
"pos",1,3
"other",1,3
"pos",1,5
"neg",1,2
"other",1,1
"other",1,4
"poor",1,6
"pos",1,14
"other",1,2
"pos",1,7
"neg",1,12
"pos",1,13
"other",1,3
"other",1,77
"pos",1,15
"other",1,6
"other",1,0
"other",1,0
"pos",1,8
"other",1,31
"pos",1,9
"other",1,73
"other",1,40
"other",1,10
"poor",1,8
"other",1,16
"pos",1,22
"other",1,8
"other",1,3
"other",1,10
"other",1,0
"other",1,87
"other",1,21
"neg",1,12
"other",1,6
"other",1,27
"pos",1,26
"other",2,19
"pos",2,14
"poor",2,47
"other",2,7
"pos",2,11
"pos",2,42
"other",2,3
"other",2,37
"pos",2,16
"other",2,7
"other",2,1
"other",2,5
"other",2,17
"other",2,6
"other",2,9
"other",2,6
"other",2,16
"other",2,9
"poor",2,4
"pos",2,8
"pos",2,28
"other",2,5
"pos",2,5
"pos",2,8
"other",2,5
"pos",2,3
"other",2,9
"pos",2,9
"other",2,19
"pos",2,5
"other",3,3
"other",3,5
"other",3,5
"other",3,9
"other",3,1
"pos",3,6
"pos",3,6
"other",3,7
"pos",3,9
"other",3,2
"other",3,53
"other",3,8
"other",3,24
"pos",3,31
"pos",3,3
"pos",3,29
"other",3,14
"pos",3,30
"pos",3,15
"pos",3,23
"other",3,36
"other",3,9
"pos",3,5
"other",3,20
"other",3,4
"other",3,12
"other",3,100
"other",3,3
"other",3,6
"pos",3,2
"pos",3,8
"other",3,16
"other",3,11
"poor",3,16
"other",3,6
"pos",3,42
"other",4,22
"other",4,12
"other",4,4
"other",4,24
"other",4,25
"poor",4,7
"other",4,0
"other",4,12
"other",4,45
"other",4,32
"pos",4,14
"pos",4,74
"other",4,3
"other",4,0
"other",4,9
"pos",4,4
"other",4,10
"other",4,19
"pos",4,16
"other",4,51
"pos",4,9
"pos",4,9
"pos",4,9
"other",4,50
"other",4,10
"other",5,16
"neg",5,100
"other",5,12
"other",5,33
"other",5,4
"neg",5,14
"other",5,41
"other",5,0
"other",5,22
"pos",5,0
"other",5,100
"poor",5,31
"other",6,12
"pos",6,6
"other",6,21
"other",6,7
"other",6,1
"pos",6,20
"other",6,3
"pos",6,54
"poor",6,35
"pos",6,16
"other",6,38
"pos",7,38
"poor",7,9
"other",7,6
"other",7,9
"pos",7,5
"pos",8,2
"pos",8,16
"other",8,28
"other",8,35
"pos",8,59
"other",8,0
"poor",8,7
"pos",8,25
"other",8,6
"other",9,17
"other",9,15
"other",9,3
"other",9,46
"pos",9,7
"pos",9,21
"pos",9,14
"other",9,9
"other",9,25
"pos",10,8
"neg",10,16
"other",10,15
"other",10,14
"other",10,2
"other",10,49
"pos",10,7
"other",10,5
"neg",10,23
"pos",10,2
"other",11,15
"other",11,4
"other",11,45
"other",11,2
"other",11,0
"other",11,6
"poor",11,17
"other",11,88
"other",12,10
"other",12,100
"other",12,12
"neg",12,34
"other",12,26
"pos",12,26
"poor",12,27
"other",13,40
"other",13,8
"other",13,5
"pos",14,6
"other",14,22
"other",14,44
"pos",14,7
"pos",14,1
"poor",14,33
"other",14,11
"other",14,28
"poor",17,6
"pos",17,21
"other",17,10
"other",17,4
"other",17,0
"other",18,20
"other",18,14
"pos",22,12
"neg",25,9
"neg",25,14
"other",26,97
"other",26,4
"other",27,12
"pos",32,10
"other",34,29
"pos",39,27
"other",52,3
"other",66,26
"other",70,7
"other",70,20
"pos",72,32
"neg",79,32
"neg",79,2
"other",94,11
"other",98,70
"other",104,24
"other",114,5
"other",119,7
"other",148,32
"other",172,16
"other",187,16
"other",188,4
"other",205,63
