"title","author","date","response"
"131","[新聞]「新世紀福爾摩斯」人氣大爆發 票房受矚目","neihu"," 1/03","22"
"138","Re: [請益] 新世紀福爾摩斯地獄新娘 是電視劇???","NTURoddick"," 1/03","5"
"155","Re: [請益] 新世紀福爾摩斯地獄新娘 是電視劇???","sasako"," 1/03","15"
"169","[無雷] 新世紀福爾摩斯地獄新娘 影集版本","hosadavid"," 1/03","13"
"195","公布名單[贈票]FUNiN包場【新世紀福爾摩斯：地獄新娘】","garfie621"," 1/04","4"
"265","[普雷]《新世紀福爾摩斯：地獄新娘》穿越啦~！ ","ash1118"," 1/05","7"
"272","[選片] 福爾摩斯 VS 神鬼獵人","augusttenet"," 1/05","34"
"319","[好雷] 新世紀福爾摩斯-地獄新娘特別篇","ck0413"," 1/06","18"
"372","[好無雷]《新世紀福爾摩斯：地獄新娘》 ","mtlkinki"," 1/07","9"
"381","[普雷] 新世紀福爾摩斯 地獄新娘","kaoru1992"," 1/07","6"
"384","[負無雷] 新世紀福爾摩斯：地獄新娘","pradeclick"," 1/07","33"
"387","[新聞] 《新世紀福爾摩斯》特別篇各地票房開紅盤","maruEX"," 1/07","1"
"391","[好雷] 新世紀福爾摩斯:地獄新娘~是影集不是電影","tsukachan"," 1/07","41"
"409","[好雷] 新世紀福爾摩斯:地獄新娘","velvetavt"," 1/08","23"
"427","[好雷]《新世紀福爾摩斯：地獄新娘》捲福不捲了","piggood"," 1/08","19"
"432","[選片] 神鬼獵人/福爾摩斯/翻轉幸福","coldplay5566"," 1/08","28"
"499","[負雷] 新世紀福爾摩斯：地獄新娘沒看過影集別看","ggeni"," 1/09",""
"505","[普雷] 新世紀福爾摩斯 地獄新娘","DreamerSun"," 1/09",""
"515","[好雷] 新世紀福爾摩斯:地獄新娘","arsl400"," 1/09","16"
"544","[負雷] 新世紀福爾摩斯:地獄新娘 ","nagareboshi7"," 1/10","13"
"549","Re: [負雷] 新世紀福爾摩斯:地獄新娘 ","emip"," 1/10","26"
"575","[無雷] 福爾摩斯：地獄新娘","a5378623"," 1/10","27"
"588","[有條件的好雷] 福爾摩斯 地獄新娘  ","Pietro"," 1/10","11"
"614","[好雷]新世紀福爾摩斯:地獄新娘～獻給影迷的電影","crane66"," 1/11","6"
"616","[微好雷]新世紀福爾摩斯-地獄新娘 ","snake74193"," 1/11","6"
"642","[好雷] 新世紀福爾摩斯-地獄新娘之神探也是人","angelsinging"," 1/11","16"
"662","[好雷]新世紀福爾摩斯 地獄新娘觀後感","jerry543"," 1/12","5"
"670","[有雷]談福爾摩斯與神鬼獵人及服裝 ","whitestripe"," 1/12","9"
"696","[好雷] 新世紀福爾摩斯：地獄新娘","ueiwei"," 1/12","7"
"723","[好雷] 新世紀福爾摩斯 地獄新娘","andylin2468"," 1/13","5"
"729","[好雷]新世紀福爾摩斯:地獄新娘 ","corgimania"," 1/13","5"
"803","[評論]福爾摩斯如何穿越時代而不墜（無雷）","kset77"," 1/14","5"
"804","[負雷] 新世紀福爾摩斯：地獄新娘","pureman"," 1/14","21"
"880","Re: [選片] 葉問3/福爾摩斯/神鬼獵人","saogogo1074"," 1/15","2"
"1153","[請益] 新世紀福爾摩斯地獄新娘(有雷)","mango3888"," 1/21","10"
"1154","Re: [請益] 新世紀福爾摩斯地獄新娘(有雷)","shamanlin"," 1/21","3"
"1182","[普雷] 《新世紀福爾摩斯：地獄新娘》","wenwei"," 1/22","18"
"1437","[選片] 大賣空 神鬼獵人 福爾摩斯 難抉擇","crazy7788"," 1/28","53"
"1806","[好雷] 不犯同一個錯－福爾摩斯先生","ueiwei"," 2/04","24"
"1845","[選片] 13小時和新世紀福爾摩斯地獄新娘抉擇","byebyedear"," 2/05","16"
"2786","[討論]  福爾摩斯地獄新娘 有雷","kerfish"," 2/18","16"
"4478","[好雷] 得獎的是 Ian McKellen 福爾摩斯先生","secptt"," 3/12","26"
"7356","[新聞] 《福爾摩斯3》回歸？小勞勃道尼：今年可","conpo"," 4/21","69"
"12721","[討論] 《福爾摩斯先生》：作為一個完美的人，為","MyAll"," 6/23","10"
"12838","[好無雷] 毫無線索/福爾摩斯外傳 好笑惡搞","TaipeiKOBE"," 6/25","4"
"13350","[討論] 【電影冷知識】福爾摩斯打敗莫里亞蒂教授","MyAll"," 7/02","5"
"14212","[好雷] 《福爾摩斯先生》 - 真相底下的心之謎","leila"," 7/13","9"
"15191","【LIVE】福爾摩斯的最後奇案","wittmann4213"," 7/27","36"
"15579","[新聞] 漫威搓合 福爾摩斯拍檔有望《復仇者聯盟3","conpo"," 8/02","9"
"22613","[好雷] 奇異博士-哈利福爾摩斯的巫師修行","ck0413","10/27","11"
"22704","[新聞] 華納兄弟為發展《福爾摩斯3》組成編劇室","sandapro51","10/28","16"
"24458","[新聞] 威爾法洛版《福爾摩斯與華生》公布新卡司","ourstage","11/20","24"
