"title","author","date","response"
"189","[普雷]《丹麥女孩》周星馳：扮鵪鶉你也懂?! ","ash1118"," 1/04","1"
"647","[贈票] 【丹麥女孩】台北特映搶先看","cecilia1220"," 1/11","爆"
"1150","[贈票] 丹麥女孩特映券","smallwhite28"," 1/21","4"
"1788","[請益] 情人節電影選擇 丹麥女孩/非普通屍戀/單","yepp"," 2/04","5"
"2117","[新聞] 【丹麥女孩】淺談變性的心理與生理","plumlove12"," 2/10","1"
"2367","[普雷] 丹麥女孩","YMSH205"," 2/12","5"
"2380","丹麥女孩 Eddie是不是應該提名女主角？","newN2"," 2/12","28"
"2384","[普雷]《丹麥女孩》，Man into Woman。 ","a122239"," 2/12","21"
"2418","[請益] 丹麥女孩好哭嗎？","readers"," 2/13","63"
"2479","[好雷] 丹麥女孩","croc234"," 2/13","4"
"2482","[好雷] 丹麥女孩：你勇敢地認識自己了嗎？","sunsirr"," 2/13","29"
"2510","[好雷]The Danish Girl 丹麥女孩 ","komoro"," 2/14","17"
"2535","[ 普好 雷]丹麥女孩 ","aton17"," 2/14","11"
"2553","[選片] DP/ 丹麥女孩","ayame0625"," 2/14","47"
"2589","[五雷轟頂]聖獄/大賣空/賈伯斯/班加西/丹麥女孩","rosebyrne"," 2/14",""
"2592","[好雷] 丹麥女孩-She called me Lili","vul35858"," 2/14","19"
"2600","[好雷] 丹麥女孩~軀殼囚禁自由的靈魂~ ","tsukachan"," 2/15","6"
"2633","[選片] 死侍/丹麥女孩","k88j042"," 2/15","59"
"2645","[討論] 丹麥女孩","david850809"," 2/15","10"
"2661","[好雷] 丹麥女孩-愛與勇氣的故事","ykan"," 2/15","22"
"2666","Re: [請益] 丹麥女孩劇情疑問（有雷）","Zionward"," 2/16","12"
"2693","[  雷] 丹麥女孩-莉莉不是變性人，是性變態!? ","romacapri"," 2/16","3"
"2694","[好微雷] 【丹麥女孩】某些『男人』的夢..感謝有這部電影(落淚)","piggood"," 2/16","3"
"2715","[好雷] 丹麥女孩糾結心得 （有雷） ","stlin2002"," 2/16","11"
"2776","[討論] 丹麥女孩台詞","fowloome"," 2/17","18"
"2805","[有雷] 丹麥女孩The Danish Girl 心得 ","tenminutes"," 2/18","18"
"2814","[討論] 丹麥女孩劇情 內有雷","bugg18"," 2/18","5"
"2815","[普雷] 丹麥女孩：湯姆霍伯又犯了同樣的錯誤","a80568911"," 2/18","8"
"2826","[好雷] 就讓她飛吧－丹麥女孩","lawyer5566"," 2/18","1"
"2841","[討論] 皮卡丘跟丹麥女孩","fowloome"," 2/19","40"
"2852","[普雷] 丹麥女孩- 看完讓我超級不舒服","mimi0254didi"," 2/19","X6"
"2854","[好雷] [丹麥女孩] 有一種愛，是即便我痛苦也要讓你快樂","piggood"," 2/19","8"
"2857","[好雷] 丹麥女孩(有雷)","Ymuse"," 2/19","3"
"2862","[影評]李奧納多遇勁敵，丹麥女孩神演技。 ","a2975"," 2/19",""
"2869","[選片] 丹麥女孩vs單身啪啪啪","poposong"," 2/19","32"
"2899","[請益] 丹麥女孩的亨里克(有劇情雷)","klad"," 2/19","16"
"2902","[好無雷] 丹麥女孩、八惡人、驚爆焦點","sergiorossi"," 2/20","14"
"2941","[好雷] 「丹麥女孩」的同/胴體。性別-政治-美學","Dramaman"," 2/20","10"
"2969","[討論] 丹麥女孩，莉莉的眼淚","kartg0080092"," 2/20","6"
"2994","[好雷] 丹麥女孩","Anail"," 2/21","5"
"2998","[普雷]《丹麥女孩》我們是性少數，不是神經病","nanaserou"," 2/21","2"
"3080","[好雷] 我是跨性別，我看丹麥女孩","evanzxcv"," 2/22","爆"
"3083","[好雷] 特雷--《丹麥女孩》 絲質好滑好順好好摸","ZAZS"," 2/22","9"
"3088","[請益] 丹麥女孩預告畫面與電影呈現的不同？","venusscar"," 2/22","9"
"3094","[好雷] 丹麥女孩 ","bewritten"," 2/22","4"
"3096","[好雷] 丹麥女孩","nube3315"," 2/22",""
"3134","[好雷] 丹麥女孩","matthew52053"," 2/22","3"
"3177","Re: [普雷] 丹麥女孩- 看完讓我超級不舒服","pseudo"," 2/23","23"
"3179","Re: [普雷] 丹麥女孩- 看完讓我超級不舒服","uofo"," 2/23","9"
"3180","Re: [普雷] 丹麥女孩- 看完讓我超級不舒服","a5378623"," 2/23","45"
"3192","Re: [普雷] 丹麥女孩- 看完讓我超級不舒服","Anail"," 2/23","26"
"3194","Re: [普雷] 丹麥女孩- 看完讓我超級不舒服","linhsiuwei"," 2/23","X1"
"3204","[好雷] 丹麥女孩 The Danish Girl","cyuanyou"," 2/24","4"
"3205","Re: [普雷] 丹麥女孩- 看完讓我超級不舒服","a5378623"," 2/24","13"
"3211","Re: [普雷] 丹麥女孩- 看完讓我超級不舒服","Greein"," 2/24","29"
"3216","Re: [普雷] 丹麥女孩- 看完讓我超級不舒服","darknight127"," 2/24","15"
"3217","Re: [普雷] 丹麥女孩- 看完讓我超級不舒服","hans6414"," 2/24","6"
"3219","Re: [普雷] 丹麥女孩- 看完讓我超級不舒服","taiwan81903"," 2/24",""
"3221","Re: [普雷] 丹麥女孩- 看完讓我超級不舒服","awhat"," 2/24","54"
"3224","Re: [普雷] 丹麥女孩- 看完讓我超級不舒服","log3"," 2/24","4"
"3228","Re: [普雷] 丹麥女孩- 看完讓我超級不舒服","a5378623"," 2/24","6"
"3230","Re: [普雷] 丹麥女孩- 看完讓我超級不舒服","darknight127"," 2/24","4"
"3233","Re: [普雷] 丹麥女孩- 看完讓我超級不舒服","killeryuan"," 2/24","78"
"3247","[公告] 丹麥女孩討論串","ericf129"," 2/24","49"
"3280","[選片] 扣押幸福 驚爆焦點 丹麥女孩 八惡人","venq1218"," 2/25","10"
"3339","[選片] 丹麥女孩 VS. 扣押幸福","louismou"," 2/26","15"
"3345","[ 負雷]丹麥女孩-是藝術片還是商業片？","sculynn"," 2/26","24"
"3374","[討論] 丹麥女孩-勇敢卻自私的莉莉","caii7871"," 2/26","25"
"3431","[ 好雷] 丹麥女孩，不負責任影評心得","bawzu"," 2/27","2"
"3470","[好雷] 丹麥女孩：愛與生命的課題 ","kaoru1992"," 2/27","9"
"3478","[請益] 丹麥女孩//有雷","amytw"," 2/27","2"
"3484","[好雷] 丹麥女孩","deepinheart"," 2/27","2"
"3558","[新聞] 丹麥女孩：影帝給他啦！ 李奧納多將破槓","Punisher"," 2/28","38"
"3579","[請益] 丹麥女孩or不存在的房間","S22404"," 2/29","35"
"3775","[普雷]丹麥女孩-這個變性的節奏有點快","chrisydvin"," 3/01","5"
"3792","[討論] 丹麥女孩的夾起來","kwvy"," 3/01","10"
"3793","[好雷] 跨性別伴侶看丹麥女孩-之一 ","thatsking"," 3/01","21"
"3803","[請益] 丹麥女孩最後","pchion2002"," 3/02","10"
"3806","[好雷] 跨性別伴侶看丹麥女孩-之二（完） ","thatsking"," 3/02","17"
"4009","[選片] 丹麥女孩/驚爆焦點/不存在的房間/動物方","iamNori"," 3/05","37"
"4032","Re: [選片] 丹麥女孩/驚爆焦點/不存在的房間/動物方","akiu072"," 3/05",""
"4056","[好雷] 丹麥女孩—多種不同樣貌的愛","IBSU"," 3/06","2"
"4131","[好雷]丹麥女孩-一個追尋的故事 ","creep92593"," 3/06","5"
"4257","[  普雷]  《丹麥女孩》，The Danish Girl(2016)","taurus7hehe"," 3/09","6"
"4317","[微雷] 丹麥女孩(The Danish Girl)","jo981015"," 3/10",""
"4890","[微好雷] 丹麥女孩 ","justo180"," 3/19","1"
"5291","[請益] 丹麥女孩的音樂","jay121133"," 3/25","1"
"6571","[問片] (已解決)一部跟丹麥女孩劇情很像的片子","godest"," 4/10","5"
"7214","[好雷] 《丹麥女孩》 - 從放手找到力量","leila"," 4/19","2"
"14377","[好雷]素媛---超級大淚崩（外加丹麥女孩&單身% ","yuka0117"," 7/15","28"
"15982","[普雷] 丹麥女孩原作小說與電影","seki69"," 8/06","1"
"21840","[請益] 丹麥女孩小問題","littleyu1221","10/17","5"
