"title","author","date","response"
"15955","[討論] 《薩利機長：哈德遜奇蹟》預告及海報","SKnight"," 8/06","5"
"16994","[贈票] 搶先見證【薩利機長：哈德遜奇蹟】","rainyday801"," 8/18","93"
"18143","[討論] 《薩利機長：哈德遜奇蹟》終極版預告","SKnight"," 9/04","2"
"18362","[好雷]英雄的定義－薩利機長：哈德遜奇蹟  ","bpf1980"," 9/05","1"
"18508","[討論] 屍速列車即將撞上薩利機長","kinmenGD"," 9/06","18"
"18557","[ 好雷] 薩利機長（Sully)-哈德遜奇蹟-大推","akihsu"," 9/07","10"
"18594","[影片/好雷]克林伊斯威特的英雄定義－薩利機長 ","bpf1980"," 9/07",""
"18612","[超好雷] 薩利機長 英雄的定義  有彩蛋","magicf"," 9/07","11"
"18634","[新聞] 9 個數字解開《薩利機長：哈德遜奇蹟》的幕後秘密","moviemovie"," 9/08","1"
"18649","[好雷] 薩利機長：哈德遜奇蹟~從頭緊張到尾~ ","tsukachan"," 9/08","6"
"18650","[普好雷] 薩利機長：哈德遜奇蹟","sherlockt"," 9/08","3"
"18664","[好雷] 薩利機長：哈德遜奇蹟","abenacci"," 9/08","11"
"18672","[請益] 請問機密真相跟薩利機長相似度","fog"," 9/08","10"
"18673","[好雷] 薩利機長—令人深省的好片","basssean"," 9/08","29"
"18712","[好雷] 一部平淡卻讓人感動萬分的 薩利機長","novitw"," 9/09","10"
"18720","Re: [好雷] 一部平淡卻讓人感動萬分的 薩利機長","seaEPC"," 9/09","4"
"18729","[ 好雷] 不嘩眾取寵的薩利機長","vhygdih"," 9/09","2"
"18731","[選片] 喵星人、玩命直播、薩利機長","gardenless20"," 9/09","6"
"18737","[選片] 薩利機長、鬼打牆","ajeroboy"," 9/09","8"
"18745","[新聞] 湯姆漢克演活本尊不靠長得像 《薩利機長","conan543"," 9/09",""
"18758","[負雷] 薩利機長","biboga"," 9/09","9"
"18763","[選片] 薩利機長.玩命直播","taipeiamywu"," 9/09","11"
"18772","[好雷] 薩利機長","Kakehiko"," 9/09","20"
"18803","[選片] 屍速列車 、薩利機長","cuteucz"," 9/10","61"
"18860","[請益] 薩利機長的片中便條紙(無雷)","eleanoe3"," 9/10","2"
"18870","[請益] 薩利機長內容請教(有微雷)","walter"," 9/11","2"
"18875","[好雷] 薩利機長：哈德遜奇蹟 ","m19871006"," 9/11","5"
"18882","[好雷] 薩利機長 ","ttnakafzcm"," 9/11","5"
"18891","[好雷] 薩利機長 - 英雄的定義","jc91027557"," 9/11","18"
"19011","[請益] 薩利機長內容一問(可能有雷)","cicadascry"," 9/12","17"
"19068","Re: [請益] 薩利機長內容一問(可能有雷)","ttnakafzcm"," 9/12","3"
"19084","[好雷] 薩利機長：哈德遜奇蹟","akyoku"," 9/12","5"
"19150","[請益] 薩利機長 的小問題～","elsashmily"," 9/12","7"
"19179","[請益] 薩利機長","phear"," 9/13","15"
"19182","Re: [請益] 薩利機長內容一問(可能有雷)","ttnakafzcm"," 9/13",""
"19210","[好雷] 薩利機長:哈德遜奇蹟","Timk"," 9/13","19"
"19246","[好雷] 薩利機長  一部不賣弄的優質電影","Fuzishan"," 9/14","9"
"19253","[請益] 薩利機長片尾音樂","slimee5566"," 9/14","4"
