"title","author","date","response"
"13657","[新聞] 2016全球影壇最矚目災難大片 《屍速列車》狂銷156國映演","FuSen000"," 7/06","11"
"15681","[新聞] 福斯、索尼競購版權！好萊塢有意翻拍南韓殭屍片《屍速列車》","qpr322"," 8/03","15"
"16459","[新聞] 屍速列車票房破千萬 擊敗復仇者聯盟2","iam168888888"," 8/12","20"
"16885","[大好雷]釜山行（屍速列車）","coolsemis"," 8/17","36"
"16963","[新聞] 世越號悲劇後，韓國人更該觀看《屍速列車》與《隧道》？","moviemovie"," 8/18","2"
"16987","[討論] 屍速列車","david850809"," 8/18",""
"16998","[新聞] 屍速列車首映賺熱淚 台灣導演一致好評","KpopNote"," 8/18","21"
"17535","[好雷] 屍速列車觀後感 衝擊感官想像","leldy"," 8/26","26"
"17555","Re: [好雷] 屍速列車觀後感 衝擊感官想像","Seydlitz"," 8/26","7"
"17562","[新聞] 從「屍速列車」一窺台韓類型片差距","eytdtdm8"," 8/26","6"
"17768","[新聞] 《屍速列車》登港最賣座韓 片9／2攻台 ","pf775"," 8/29","27"
"17785","[好雷] 屍速列車 Train to Busan (釜山行)","johnhjwu"," 8/29","5"
"17863","[好雷] 屍速列車 — 人生第一部殭屍片","priliona"," 8/31","18"
"17869","[請益] 屍速列車有無片尾彩蛋？","sandiato"," 8/31","16"
"17893","[極好雷] 《屍速列車》極速下的求生（無雷）","cuci33"," 8/31","6"
"17926","[情報] 《屍速列車》新加坡、香港票房創佳績","LeedTV"," 9/01","12"
"17946","[請益] 請問有在國外看4DX屍速列車的網友嗎","a125g"," 9/01","8"
"17960","[好雷]《屍速列車》，列車上，哪裡是安全的？","a122239"," 9/01","4"
"17975","[情報] 《屍速列車》上映前情報小彙整(推文有雷)","LeedTV"," 9/02","34"
"17985","[請益] 請教屍速列車的見血程度","qeworz"," 9/02","35"
"17986","[好雷]  屍速列車","aflan5420"," 9/02","41"
"17990","[大好雷]屍速列車 TRAIN TO BUSAN","frogyy"," 9/02","13"
"17991","[好無雷] 屍速列車4DX微心得","mothrop"," 9/02","6"
"17997","[好雷] 屍速列車,我在底下有討論結局勿拉到最下面,上面安全 ","egg781"," 9/02","55"
"18000","[好雷] 屍速列車真的好好看好好哭！","joann63"," 9/02","34"
"18001","[ 好雷] 屍速列車 比喪屍可怕的是","arrhythmia"," 9/02","53"
"18003","[徵人] 台南國賓E廳《屍速列車》一位","jxigjll"," 9/02","6"
"18005","[好雷] 屍速列車 ","MOONY135"," 9/02","85"
"18008","[請益] 屍速列車 4DX","hydrophobic"," 9/02","9"
"18010","[好雷] 屍速列車","m19871006"," 9/02","12"
"18012","[好雷] 《屍速列車》：人何以為人","vollier"," 9/02","26"
"18013","[新聞] 新片看板 銷售奇姬迎戰屍速列車","iam168888888"," 9/02","13"
"18015","[好雷] 屍速列車","joygo"," 9/02","17"
"18019","[討論] 屍速列車幾個點(雷)","sandiato"," 9/02","42"
"18023","[好雷] 屍速列車","jjjj0000k"," 9/02","7"
"18024","[討論] 屍速列車的老婆婆","eytdtdm8"," 9/02","38"
"18025","[好雷] 屍速列車","kwinner"," 9/02","9"
"18028","[請益] 屍速列車一個劇情問題（有雷）","flare321"," 9/02","8"
"18029","[好雷] 沒有解藥的末日活屍電影《屍速列車》","doggo"," 9/02","1"
"18032","[好雷]嚇得30公分都快彈出來之[屍速列車]","Eva2015"," 9/02","21"
"18035","[新聞] 《屍速列車》導演延尚昊10月來台 暢談喪","pf775"," 9/02","9"
"18036","[ 好雷] 屍速列車疑問","chris2345408"," 9/03","7"
"18039","[好雷]屍速列車  ","devilcrycry"," 9/03","3"
"18040","Re: [ 好雷] 屍速列車疑問","fanchi703"," 9/03","2"
"18041","[好無雷]屍速列車 剛散場心得!!","hisashi021"," 9/03","15"
"18042","[請益] 屍速列車 廁所的那些話","wccw010034"," 9/03","2"
"18043","[好雷]屍速列車｜人心冷暖，比殭屍更可怕 ","rainkateshan"," 9/03","3"
"18045","[好雷] 令人驚呼又讚嘆的屍速列車","Changyaya"," 9/03","11"
"18046","[好雷] 像鬼片般驚悚的屍速列車","modeldoggy"," 9/03","26"
"18048","[ 好雷] 《屍速列車》數位vs 4DX無雷心得","cuci33"," 9/03","1"
"18050","[討論] 屍速列車的羅生門","jeff0205"," 9/03","9"
"18051","[請益] 屍速列車的疑問有雷","joygo"," 9/03","33"
