"title","author","date","response"
"1052","[討論] 海底總動員2：多莉去哪兒 台繁中字預告","debb0128"," 1/19","1"
"3847","[討論] 【海底總動員2】新預告釋出","S890127"," 3/02","24"
"3922","Re: [討論] 【海底總動員2】新預告釋出","TVpotato"," 3/04","4"
"4241","Re: [討論] 【海底總動員2】新預告釋出","debb0128"," 3/08","1"
"10566","[討論] 「海底總動員2：多莉去哪兒」最新預告","S890127"," 5/25","17"
"10596","[新聞] 皮克斯最新動畫續作《海底總動員2：多莉","ocp1017"," 5/25","2"
"11102","[新聞] 小S首度偕3女兒為【海底總動員2】配音","c84925025"," 6/02","X1"
"12004","[討論]海底總動員2爛番茄首波評價 ","Baymax5566"," 6/14","27"
"12230","[好無雷] 海底總動員2 Finding Dory","sv1723"," 6/18","14"
"12400","[新聞] 海底總動員2創全美動畫最高首周紀錄","soso4570"," 6/20","43"
"12502","[好無雷] Finding Dory 海底總動員2","charikun"," 6/22","5"
"13015","[新聞] 海底總動員2 北美雙週票房連霸","maxw1102"," 6/27","4"
"13242","[選片] 海底總動員2  泰山傳奇 該選哪部?","saphir"," 7/01","4"
"13256","[好雷] 海底總動員2-重溫童年啊(雷）","a3330813"," 7/01","17"
"13265","[大好雷] 海底總動員2-永遠要相信自己","tacimio1216"," 7/01","11"
"13267","[討論] 海底總動員2-多莉去哪裡之好多小孩啊～","lastsamurai"," 7/01","21"
"13272","[選片] 泰山傳奇vs.寵物當家vs. 海底總動員2","noblempress"," 7/01","14"
"13275","[選片] 寵物當家 v.s 憤怒鳥 v.s 海底總動員","forsealy"," 7/01","21"
"13306","[好雷] 《海底總動員2:多莉去哪兒？》","abaw0522"," 7/02","12"
"13318","[好雷]海底總動員2 多莉去哪兒? 藍魚歷險記 ","Dream1201"," 7/02","8"
"13353","[選片] 海底總動員2中配英配哪個好?!","toothfairy"," 7/02","19"
"13358","[選片] 寵物當家&海底總動員","monstermimic"," 7/02","18"
"13389","[無雷] 海底總動員2","qq326"," 7/03","6"
"13434","[好雷]海底總動員2：多莉去哪兒Finding Dory","lily410"," 7/03","1"
"13491","[好雷]海底總動員2 多莉去哪裡 ","m23083"," 7/04","15"
"13724","[好雷] 《海底總動員2：多莉去哪兒》-只要游泳～","leila"," 7/07","3"
"13725","[好雷] Just Keep Swimming 海底總動員2 ","bestew"," 7/07","13"
"13738","[好雷] 海底總動員2:多莉去哪兒 \"國語版\" ","AnanP"," 7/08",""
"13740","[好雷] 海底總動員2 Finding Dory+週邊展覽心得","chuan"," 7/08","4"
"13756","[好雷] Finding Dory 海底總動員2 我是多莉腦粉","vup40"," 7/08","5"
"13784","Fw: [新聞] 玩過頭！女子在戲院直播海底總動員2 片商","littlewh1t3"," 7/08","60"
"13818","[  好雷] 海底總動員2 多莉妳好棒啊！","honeybears"," 7/08","9"
"13830","[ 普雷] 海底總動員2-多莉去哪兒","sherry200429"," 7/09","2"
"13831","[好雷] 海底總動員2 - 可看，但沒1好看，字幕怪","belleaya"," 7/09","9"
"13857","[好雷] 嗑電影--海底總動員2：多莉去哪兒","gys2"," 7/09",""
"13928","[好雷] 海底總動員2：多莉去哪兒 ","m19871006"," 7/09","9"
"13997","[選片] 海底總動員vs.寒戰2","sophie7626"," 7/10","29"
"14011","[好雷] 海底總動員2：多莉去哪兒？","jygiant0330"," 7/10","7"
"14181","[ 負無雷] 海底總動員2","holidaypan"," 7/13","19"
"14182","[好無雷]  這也太好看了吧《海底總動員2：多莉去哪兒》","piggood"," 7/13","1"
"14221","[ 超好雷] 海底總動員2","gnemail183"," 7/13","5"
"14270","[問片] 海底總動員跟寒戰沒看過前一集的選擇","rtact"," 7/14","13"
"14276","[無雷]海底總動員2：多莉去哪兒？ 不爆雷觀後感 ","lasor"," 7/14","5"
"14284","[影評] 海底總動員2 -救援、照護、釋放的三重奏 ","grafishbanet"," 7/14",""
"14299","[好雷] 海底總動員2 跟著多莉繼續游泳","kaijchen"," 7/15","3"
"14308","[好雷] 海底總動員2多莉去哪兒","outleap"," 7/15","8"
"14368","[選片] 海底總動員 魔鬼剋星 一般廳選擇","skylow134"," 7/15","5"
"14610","[討論] 海底總動員2的中文配音","chan520cc"," 7/19","5"
"14625","[負雷] 海底總動員2 真的說不上很好看","vivaz"," 7/19","12"
"14754","[討論] 幕迷聊電影-海底總動員2多莉去哪兒 ","XXYXXY"," 7/21",""
"14903","[新聞] 日本票房：《海底總動員2》奪冠3新片上榜","chuan"," 7/23","10"
"15109","[選片] 海底總動員VS冰原歷險記VS六弄咖啡館","bluegold"," 7/26","14"
"15176","[討論]  海底總動員2 多莉 之 你喜歡哪隻動物？","iamarui"," 7/27","15"
"15208","[討論] 動物方城市跟海底總動員2","zonglin814"," 7/28","49"
"15273","[好雷] 海底總動員2 找回自己的多莉 ","candyarticle"," 7/29","4"
"15360","[ 普雷] 海底總動員2","eagleleo"," 7/30",""
"15869","[請益] 海底總動員2：多莉去哪兒 國語版","pumafish"," 8/05","11"
"18244","[好雷] 《海底總動員》熱鬧精彩的海底世界 ","moodyblue"," 9/04","2"
"25171","[好雷] 讓我重新對動畫片燃起希望的海底總動員2","SQUAD12345","11/29","17"
