"tag","day","rate"
"other",-46,21
"poor",-30,3
"neg",-20,33
"neg",-14,20
"poor",-12,2
"other",-11,9
"other",-5,76
"other",0,8
"pos",1,0
"neg",1,5
"other",1,22
"neg",2,12
"pos",2,1
"pos",3,30
"other",3,24
"other",3,11
"poor",4,1
"neg",4,37
"neg",5,0
"poor",5,3
"pos",6,6
"other",6,57
"pos",6,14
"other",7,1
"poor",7,6
"other",7,31
"poor",9,3
"neg",9,1
"pos",10,8
"neg",10,14
"pos",10,3
"neg",11,7
"pos",17,0
"poor",19,0
"poor",27,0
"neg",30,0
"pos",31,2
"other",71,0
"other",86,18
"other",120,15
"other",121,2
"other",143,0
"other",143,4
"neg",175,0
"other",180,13
"other",181,8
"other",190,0
"other",264,46
