"tag","day","rate"
"other",-155,15
"other",-115,0
"other",-101,6
"other",-55,24
"other",-26,0
"other",-19,6
"poor",-17,8
"other",-14,100
"pos",-13,15
"other",-13,3
"other",-9,35
"other",-8,34
"other",-8,12
"other",-7,4
"other",-7,3
"other",-7,2
"other",-5,19
"other",-4,0
"pos",-3,9
"other",-3,43
"other",-1,22
"poor",-1,1
"other",-1,0
"poor",0,3
"other",0,5
"other",0,11
"other",0,12
"other",0,6
"poor",0,15
"neg",0,2
"pos",0,19
"other",0,25
"pos",1,11
"other",1,9
"other",1,3
"other",1,7
"other",1,5
"neg",1,39
"other",1,4
"other",1,32
"other",1,7
"other",1,7
"other",2,5
"other",2,17
"other",2,1
"other",2,1
"poor",2,68
"other",2,7
"other",2,10
"other",2,7
"other",3,14
"poor",3,3
"poor",4,3
"poor",4,6
"poor",5,7
"neg",5,13
"other",5,47
"poor",5,36
"other",5,3
"other",5,19
"neg",5,1
"other",6,7
"other",6,13
"other",6,9
"pos",7,0
"poor",7,2
"other",8,2
"other",8,17
"other",8,8
"other",8,10
"other",9,34
"pos",10,5
"poor",10,14
"pos",14,1
"pos",20,26
"pos",23,8
"pos",23,0
"pos",23,2
"other",26,1
"other",31,5
"other",57,4
"poor",81,6
"neg",104,19
"other",114,2
