"tag","day","rate"
"other",-31,16
"other",-3,10
"poor",0,20
"other",0,2
"poor",0,4
"poor",0,4
"neg",0,1
"pos",0,1
"other",0,5
"pos",0,5
"neg",0,3
"other",0,1
"other",0,24
"other",1,12
"neg",1,0
"neg",1,5
"other",1,5
"other",1,0
"other",1,2
"other",1,3
"other",1,54
"poor",1,2
"neg",1,0
"neg",1,5
"other",1,0
"neg",2,4
"other",2,9
"neg",2,7
"pos",2,19
"neg",2,10
"other",2,1
"pos",3,13
"other",3,30
"neg",3,4
"neg",3,6
"poor",4,8
"poor",4,3
"poor",6,1
"other",6,9
"other",6,12
"other",7,17
"other",8,23
"poor",9,3
"neg",10,10
"neg",10,2
"pos",10,5
"poor",11,19
"poor",11,3
"other",11,9
"pos",12,2
"other",13,2
"poor",14,1
"other",16,5
"pos",21,2
"other",109,16
"other",121,1
"other",122,3
"other",125,5
"pos",129,2
"neg",133,4
"other",154,4
"pos",206,5
