"tag","day","rate"
"other",14,9
"other",25,27
"other",-279,0
"other",-244,100
"other",-243,43
"other",-229,5
"other",-229,7
"other",-220,27
"other",-201,11
"other",-197,21
"other",-196,1
"other",-166,15
"other",-163,3
"other",-161,23
"other",-161,4
"other",-151,10
"other",-122,35
"other",-112,18
"other",-111,5
"other",-103,0
"other",-92,4
"other",-84,2
"other",-83,3
"other",-79,6
"other",-76,3
"other",-74,1
"other",-73,6
"other",-68,0
"other",-63,60
"other",-63,17
"other",-63,13
"other",-62,8
"other",-59,8
"other",-58,100
"other",-58,24
"other",-58,47
"other",-58,19
"other",-58,2
"other",-58,22
"other",-58,36
"other",-58,37
"other",-57,8
"other",-57,37
"other",-57,2
"other",-57,21
"other",-57,7
"other",-57,0
"other",-56,40
"other",-56,48
"other",-56,32
"other",-55,14
"other",-53,100
"other",-52,11
"other",-52,4
"other",-51,1
"other",-51,27
"other",-51,2
"other",-51,38
"other",-51,13
"other",-51,7
"other",-50,30
"other",-49,10
"other",-47,7
"other",-46,37
"other",-44,5
"other",-42,4
"other",-42,0
"other",-41,23
"other",-41,14
"other",-40,12
"other",-39,22
"other",-38,3
"other",-38,5
"other",-36,26
"other",-34,63
"other",-27,33
"other",-27,100
"other",-25,15
"other",-24,4
"other",-23,7
"other",-23,28
"other",-22,35
"other",-21,26
"other",-20,9
"other",-20,100
"other",-19,18
"other",-18,6
"other",-18,20
"other",-18,3
"other",-18,3
"other",-17,19
"other",-17,31
"other",-17,25
"other",-17,15
"other",-16,11
"other",-15,7
"other",-15,21
"other",-15,9
"other",-14,9
"other",-14,1
"other",-13,15
"other",-12,58
"other",-11,17
"other",-11,12
"other",-10,9
"other",-9,6
"other",-8,32
"other",-8,3
"other",-7,11
"other",-7,18
"other",-7,-20
"other",-7,13
"other",-6,99
"other",-6,23
"other",-5,2
"other",-4,15
"other",-4,10
"other",-3,10
"other",-3,8
"other",-3,3
"other",-3,6
"other",-2,12
"other",-2,-10
"other",-2,7
"other",-2,0
"other",-2,44
"other",-2,39
"other",-2,15
"other",-2,11
"other",-2,33
"other",-2,43
"other",-2,1
"other",-1,8
"other",-1,10
"other",-1,29
"other",-1,23
"pos",0,17
"other",0,48
"other",0,13
"pos",0,34
"other",0,9
"pos",0,27
"pos",0,12
"other",0,8
"other",0,19
"pos",0,12
"other",0,0
"pos",0,2
"other",0,2
"other",0,8
"pos",0,5
"pos",0,31
"pos",0,5
"poor",0,9
"other",0,6
"other",0,8
"other",0,23
"other",0,6
"pos",0,15
"poor",0,0
"pos",0,23
"other",0,0
"poor",0,8
"other",0,5
"pos",0,17
"other",0,12
"poor",1,10
"other",1,19
"other",1,1
"poor",1,7
"other",1,3
"pos",1,5
"other",1,4
"pos",1,-10
"other",1,23
"other",1,8
"other",1,21
"other",1,2
"other",1,100
"other",1,0
"pos",1,30
"neg",1,40
"pos",2,5
"pos",2,18
"other",2,7
"other",2,24
"other",2,11
"other",2,26
"poor",2,5
"pos",2,7
"pos",2,12
"pos",2,4
"other",2,12
"other",2,1
"other",2,3
"other",3,1
"other",3,20
"other",3,14
"neg",3,100
"neg",3,16
"pos",3,28
"pos",3,6
"other",3,10
"neg",3,4
"pos",3,3
"other",3,42
"other",3,18
"other",3,62
"pos",3,4
"other",3,2
"other",3,0
"other",4,20
"pos",4,8
"pos",4,4
"pos",4,18
"other",4,100
"other",4,5
"pos",4,23
"other",4,14
"other",4,25
"other",4,36
"other",4,22
"other",4,6
"other",4,1
"other",4,27
"other",5,5
"other",5,7
"other",5,7
"pos",5,12
"other",5,12
"poor",5,10
"pos",5,31
"other",5,47
"other",5,7
"other",5,20
"other",5,20
"pos",5,32
"poor",5,8
"other",5,23
"other",5,29
"other",6,15
"other",6,2
"other",6,8
"other",6,4
"other",6,10
"pos",7,0
"other",7,30
"pos",8,100
"pos",8,22
"pos",8,16
"pos",8,3
"pos",8,9
"other",8,53
"other",8,3
"other",8,15
"other",8,13
"other",9,9
"other",9,7
"other",9,7
"other",9,20
"other",9,1
"other",9,0
"poor",9,24
"other",9,9
"pos",9,0
"other",9,2
"poor",10,13
"other",10,5
"pos",10,17
"neg",10,2
"other",10,2
"neg",10,19
"other",10,8
"pos",10,22
"pos",10,19
"other",10,43
"neg",11,64
"other",11,5
"neg",11,0
"other",11,9
"pos",11,13
"pos",11,82
"pos",11,48
"other",11,16
"neg",12,8
"neg",12,27
"other",12,29
"neg",13,19
"other",13,32
"pos",13,51
"other",14,16
"pos",14,1
"other",15,0
"other",15,21
"pos",16,11
"neg",16,-30
"pos",16,1
"other",16,10
"pos",17,7
"other",17,4
"other",19,33
"pos",19,10
"other",20,40
"pos",21,2
"pos",21,13
"neg",21,4
"poor",22,27
"other",23,47
"other",23,7
"other",25,42
"other",25,17
"other",25,6
"other",27,9
"other",28,15
"other",28,38
"other",28,13
"pos",28,7
"pos",28,0
"other",29,37
"other",29,3
"neg",33,2
"other",33,14
"neg",33,15
"other",-329,37
"other",-325,18
"other",-325,34
"other",-325,11
"other",-322,2
