"tag","day","rate"
"other",-131,30
"other",-93,39
"other",-64,0
"other",-28,14
"other",-24,100
"pos",-5,23
"pos",-5,4
"poor",-2,12
"pos",0,23
"other",0,2
"pos",0,21
"pos",0,37
"pos",1,16
"neg",1,17
"other",1,0
"pos",1,4
"pos",1,5
"other",1,12
"poor",2,4
"neg",2,55
"pos",2,11
"pos",2,15
"other",2,3
"other",2,1
"other",3,17
"pos",3,7
"other",3,3
"pos",3,7
"other",3,18
"pos",3,26
"neg",3,10
"neg",3,7
"poor",3,2
"other",3,13
"poor",3,12
"other",3,13
"pos",3,14
"other",4,6
"other",4,34
"other",4,4
"pos",4,5
"other",5,18
"pos",5,9
"other",5,55
"other",5,3
"pos",6,4
"other",7,2
"other",8,20
"pos",9,33
"other",9,37
"poor",9,12
"pos",10,16
"other",11,7
"pos",12,1
"other",12,8
"other",12,4
"pos",14,4
"pos",14,2
"pos",14,0
"other",15,0
"neg",17,30
"poor",17,5
"poor",18,15
"neg",18,6
"other",21,8
"other",22,31
"other",24,3
"other",26,6
"other",26,6
"other",27,29
"other",28,6
"neg",28,2
"poor",28,1
"other",29,5
"poor",30,9
"other",32,41
"other",33,9
"poor",33,12
"pos",40,14
"pos",42,1
"other",57,7
"other",77,0
"pos",92,3
"other",106,5
"other",168,16
"other",170,2
"other",-131,9
