"tag","day","rate"
"other",-120,21
"other",-55,8
"other",-23,1
"other",-22,0
"other",-19,0
"other",-16,0
"pos",-11,4
"pos",-9,1
"pos",-8,4
"poor",-7,5
"poor",-5,13
"poor",-4,15
"other",-3,10
"poor",-2,1
"other",-2,0
"other",-1,21
"other",-1,2
"other",0,4
"other",0,18
"poor",1,6
"neg",1,5
"other",2,79
"poor",2,8
"poor",3,1
"pos",3,0
"pos",3,16
"poor",3,3
"poor",3,3
"other",3,4
"pos",4,7
"other",4,8
"neg",4,0
"other",4,10
"neg",5,4
"poor",5,9
"poor",5,5
"other",5,7
"other",5,0
"poor",6,6
"neg",6,18
"pos",6,13
"other",7,58
"other",7,2
"poor",7,1
"pos",7,2
"other",8,4
"other",9,3
"pos",9,2
"pos",9,5
"other",9,12
"pos",9,8
"other",9,7
"other",9,9
"poor",10,3
"other",11,5
"pos",11,0
"pos",11,5
"other",12,3
"pos",12,0
"poor",13,2
"other",13,26
"pos",13,3
"other",13,0
"other",14,4
"other",17,6
"other",17,6
"pos",17,5
"other",20,54
"other",21,1
"pos",25,4
"pos",26,2
"neg",27,9
"poor",31,12
"other",43,3
"other",45,13
"other",47,0
"pos",49,1
"other",49,-10
"other",53,3
"other",59,6
"neg",101,2
"poor",102,3
