"tag","day","rate"
"other",-35,10
"other",-30,19
"other",-21,0
"other",-18,100
"other",-18,0
"other",-11,18
"other",-10,6
"other",-10,5
"other",-9,0
"other",-9,2
"other",-8,0
"other",-8,13
"other",-6,19
"other",-6,8
"other",-4,0
"other",-3,16
"other",-2,6
"other",-1,0
"other",-1,0
"other",-1,9
"poor",0,5
"poor",0,29
"other",0,14
"poor",0,12
"other",0,0
"other",0,12
"other",0,13
"pos",0,15
"other",0,11
"other",0,0
"poor",0,10
"pos",0,9
"other",0,11
"other",1,8
"poor",1,73
"neg",1,10
"other",1,3
"other",1,0
"other",1,10
"neg",1,30
"other",1,7
"other",1,63
"other",1,7
"poor",1,9
"other",1,41
"neg",1,7
"neg",1,18
"neg",2,0
"other",2,45
"other",2,10
"other",2,0
"other",2,0
"other",2,7
"other",2,4
"poor",2,6
"pos",2,8
"other",2,-10
"other",2,8
"other",2,5
"pos",2,16
"other",3,7
"neg",3,1
"poor",3,13
"other",3,10
"other",3,51
"other",3,4
"neg",3,8
"other",3,7
"other",3,12
"poor",3,9
"neg",3,100
"other",3,7
"other",3,0
"other",3,17
"other",3,0
"pos",3,6
"pos",3,17
"other",3,7
"other",3,10
"other",4,0
"other",4,0
"other",4,3
"other",4,23
"neg",4,4
"pos",4,5
"other",4,41
"poor",4,4
"other",4,6
"pos",4,13
"neg",5,8
"neg",5,41
"other",5,2
"pos",5,0
"other",5,9
"other",5,24
"other",6,10
"pos",6,8
"other",6,0
"poor",6,8
"poor",7,3
"pos",9,13
"pos",10,15
"other",10,13
"other",10,3
"other",10,18
"neg",10,7
"pos",11,23
"other",11,5
"other",11,3
"poor",11,0
"poor",11,4
"other",11,25
"other",12,0
"neg",13,1
"other",13,7
"pos",13,0
"other",13,23
"poor",13,3
"other",15,21
"other",16,2
"poor",16,5
"other",16,7
"neg",16,1
"other",16,0
"other",16,11
"other",17,37
"poor",17,3
"other",17,3
"other",17,8
"pos",18,4
"other",21,13
"other",21,0
"neg",22,0
"other",22,9
"other",23,0
"pos",25,12
"other",25,6
"poor",31,1
"pos",32,35
"pos",47,5
"other",70,18
"other",70,0
"poor",71,1
"other",82,25
"neg",102,0
"other",106,26
"other",111,12
"other",128,0
"other",141,2
"other",144,4
"other",162,10
"other",187,-10
"other",191,12
"other",220,0
"poor",221,1
"other",275,28
"other",276,8
"other",283,3
"other",297,6
"other",313,0
"other",-21,3
