"tag","day","rate"
"pos",-47,2
"other",-44,2
"other",-39,4
"other",-39,2
"other",-39,2
"other",-35,7
"pos",-23,4
"other",-23,92
"pos",-18,8
"other",-17,0
"pos",-11,1
"pos",-9,2
"other",-8,13
"pos",-4,3
"other",-3,21
"other",-2,60
"other",-1,2
"poor",0,30
"pos",0,10
"other",0,34
"pos",0,4
"pos",1,10
"pos",1,56
"pos",1,14
"other",1,16
"pos",2,14
"other",2,20
"other",2,10
"other",2,3
"other",2,12
"other",2,7
"other",2,11
"other",2,3
"pos",2,0
"other",2,2
"other",3,4
"other",3,2
"pos",3,8
"other",3,7
"pos",3,2
"other",3,27
"other",3,22
"pos",3,8
"other",3,-70
"pos",3,5
"pos",3,5
"other",3,-20
"pos",4,2
"poor",4,38
"other",4,11
"pos",4,1
"poor",4,22
"poor",4,3
"poor",4,19
"other",4,2
"pos",4,4
"other",4,32
"other",5,0
"pos",5,11
"other",5,4
"other",5,8
"other",5,4
"other",5,15
"pos",6,15
"pos",6,17
"other",6,9
"pos",6,0
"other",7,15
"pos",7,9
"other",8,59
"pos",8,12
"other",8,25
"pos",9,2
"other",9,7
"other",10,2
"other",10,10
"pos",10,31
"other",11,2
"pos",11,6
"neg",11,0
"other",11,5
"pos",12,2
"neg",12,-100
"pos",13,5
"pos",13,4
"pos",13,11
"other",14,5
"other",14,37
"pos",14,2
"pos",15,42
"pos",15,0
"neg",16,-30
"neg",16,5
"neg",16,0
"pos",17,7
"pos",17,2
"pos",17,1
"neg",17,20
"other",18,6
"pos",23,25
"poor",23,9
"other",23,12
"other",23,28
"other",29,1
"other",29,2
"pos",41,9
"other",42,96
"other",46,3
"other",48,32
"other",52,4
"poor",67,3
"other",86,6
"other",87,17
"other",135,0
"other",140,0
"other",141,0
"pos",144,2
"pos",169,7
"other",253,3
"other",289,100
"other",291,4
"pos",291,0
