"tag","day","rate"
"other",-122,6
"other",-69,0
"other",-42,6
"other",-25,4
"other",-20,3
"other",-17,6
"pos",-17,5
"other",-17,0
"other",-14,100
"other",-10,17
"other",-9,0
"pos",-6,21
"other",-6,26
"pos",-6,34
"pos",-5,20
"pos",-5,16
"other",-5,53
"pos",-5,3
"other",-5,28
"pos",-5,24
"other",-4,12
"other",-4,79
"other",-4,23
"pos",-4,27
"pos",-4,16
"other",-4,9
"pos",-4,7
"other",-4,19
"pos",-4,42
"pos",-3,14
"pos",-3,8
"pos",-3,20
"other",-3,43
"other",-3,27
"pos",-3,7
"pos",-3,9
"pos",-3,14
"pos",-3,20
"other",-2,29
"other",-1,37
"pos",0,29
"other",0,21
"pos",0,20
"pos",0,22
"other",0,99
"other",0,9
"other",0,13
"other",0,2
"other",0,9
"pos",0,5
"pos",0,11
"other",1,0
"poor",1,10
"pos",1,7
"pos",1,8
"other",1,6
"neg",1,19
"other",1,11
"poor",1,10
"pos",1,8
"pos",1,39
"other",1,23
"pos",1,25
"other",1,50
"pos",1,9
"neg",1,26
"other",1,10
"other",1,6
"other",1,5
"pos",2,20
"pos",2,2
"pos",2,15
"pos",2,31
"pos",2,5
"other",2,57
"pos",2,36
"other",2,16
"pos",2,8
"other",2,29
"pos",2,15
"pos",2,2
"pos",2,19
"pos",2,30
"pos",3,0
"poor",3,1
"pos",3,15
"other",3,14
"pos",3,22
"pos",3,47
"other",3,9
"pos",3,24
"neg",3,54
"other",3,12
"other",3,33
"other",3,7
"other",3,10
"pos",3,5
"other",3,19
"other",3,34
"other",3,2
"neg",3,3
"pos",3,13
"other",3,22
"other",3,20
"pos",3,33
"other",3,24
"other",3,3
"other",3,6
"other",3,28
"other",3,19
"pos",3,13
"other",3,34
"pos",3,35
"pos",3,21
"pos",3,45
"other",4,8
"other",4,7
"other",4,64
"other",4,17
"other",4,35
"pos",4,17
"pos",4,5
"pos",4,23
"other",4,9
"pos",4,15
"pos",4,21
"pos",4,15
"other",4,22
"other",4,20
"other",4,6
"other",4,10
"other",4,16
"pos",4,13
"other",4,52
"other",4,1
"pos",4,14
"pos",4,5
"pos",4,43
"pos",5,21
"pos",5,14
"other",5,14
"other",5,8
"pos",5,9
