"tag","day","rate"
"other",-183,44
"other",-158,4
"other",-154,1
"other",-129,76
"other",-128,46
"other",-126,45
"other",-121,3
"poor",-115,0
"other",-113,4
"other",-78,6
"other",-67,1
"other",-67,91
"other",-65,40
"other",-57,7
"other",-55,72
"other",-55,40
"other",-36,13
"pos",-35,4
"other",-12,100
"other",-8,8
"other",-5,21
"other",-1,37
"pos",-1,5
"other",-1,19
"pos",-1,10
"pos",-1,1
"pos",0,2
"pos",0,4
"pos",0,6
"other",0,5
"other",0,8
"pos",0,0
"pos",0,8
"pos",0,11
"pos",1,14
"pos",1,5
"pos",1,0
"pos",1,4
"pos",1,11
"pos",1,13
"other",1,27
"other",1,3
"other",1,96
"pos",1,4
"pos",1,4
"pos",1,7
"pos",2,28
"other",2,5
"pos",2,5
"pos",2,15
"other",2,29
"other",3,5
"other",3,3
"other",3,3
"other",3,11
"pos",3,24
"other",3,6
"other",3,7
"other",3,5
"pos",3,24
"other",3,4
"neg",3,5
"poor",3,5
"other",3,12
"other",3,3
"other",3,8
"other",3,6
"other",4,14
"other",4,16
"pos",4,11
"pos",4,8
"pos",4,6
"other",4,0
"other",4,3
"pos",4,7
"other",4,94
"pos",4,10
"other",4,24
"pos",4,1
"pos",4,1
"other",4,6
"other",4,59
"other",4,15
"pos",4,4
"other",4,3
"other",4,9
"other",5,19
"other",5,13
"other",5,13
"other",5,2
"other",5,3
"other",5,15
"other",5,1
"other",5,1
"other",5,0
"other",6,9
"pos",6,20
"other",6,35
"poor",6,35
"pos",6,1
"other",6,11
"pos",6,10
"neg",7,17
"pos",7,14
"pos",7,13
"other",8,7
"other",9,4
"other",9,3
"pos",9,5
"other",9,4
"other",10,32
"poor",11,4
"other",11,15
"other",12,4
"other",12,14
"other",12,5
"other",14,6
"pos",15,3
"pos",16,10
"other",16,6
"pos",17,5
"pos",17,0
"other",18,9
"pos",18,6
"other",18,0
"pos",19,5
"other",25,19
"poor",26,0
"other",26,4
"pos",35,7
"other",38,65
"other",38,0
"other",48,21
"other",48,1
"other",49,4
"other",49,3
"other",57,3
"other",57,9
"other",60,6
"other",60,0
"other",62,0
"other",72,4
"other",81,5
"other",83,5
"other",90,7
"other",95,10
"other",95,9
"pos",101,2
"other",103,22
"other",103,3
"other",105,8
"other",105,87
"other",121,26
"other",133,20
"other",-208,4
"other",-203,11
"poor",-193,4
