"tag","day","rate"
"other",-16,100
"other",-15,7
"other",-13,3
"pos",-1,21
"neg",0,9
"poor",0,12
"neg",0,9
"pos",0,15
"pos",1,5
"pos",1,5
"neg",1,6
"pos",1,0
"poor",2,3
"pos",2,2
"neg",2,2
"other",2,36
"poor",2,10
"neg",3,0
"other",3,6
"pos",3,4
"other",4,4
"poor",4,5
"other",4,25
"poor",5,0
"pos",5,3
"poor",5,5
"poor",5,7
"other",5,7
"pos",6,0
"pos",7,11
"pos",7,2
"pos",8,4
"pos",8,4
"pos",9,5
"pos",11,2
"other",11,9
"poor",11,3
"poor",15,0
"poor",18,0
"pos",19,1
"neg",23,3
"neg",102,23
"poor",126,4
