"tag","day","rate"
"other",-159,3
"other",-146,67
"other",-145,7
"other",-143,21
"other",-130,4
"other",-119,2
"other",-58,32
"other",-52,0
"other",-51,33
"other",-51,9
"other",-22,8
"other",-13,100
"other",-5,1
"other",-1,14
"pos",-1,1
"other",-1,3
"pos",0,10
"poor",0,2
"other",0,2
"pos",0,27
"pos",0,7
"other",0,4
"poor",0,18
"other",0,18
"pos",1,14
"other",1,8
"other",2,23
"other",2,0
"other",2,57
"pos",2,3
"poor",3,31
"pos",3,3
"pos",3,3
"pos",3,0
"other",4,20
"pos",4,2
"other",4,13
"poor",4,-10
"other",4,34
"other",5,18
"other",5,2
"other",5,4
"other",5,10
"pos",5,2
"pos",5,17
"other",5,23
"neg",6,46
"other",6,4
"other",6,38
"neg",7,20
"neg",7,7
"neg",7,10
"neg",7,13
"neg",7,1
"neg",7,3
"other",7,11
"neg",7,1
"neg",7,7
"pos",7,3
"pos",7,5
"other",7,9
"pos",8,4
"pos",8,6
"other",8,0
"other",8,27
"other",9,2
"other",9,15
"other",9,3
"pos",9,16
"other",10,6
"poor",10,1
"pos",10,2
"pos",14,7
"pos",15,4
"poor",17,14
"other",19,47
"other",19,3
"other",19,3
"other",19,36
"poor",21,4
"other",21,2
"other",23,63
"other",25,26
"other",28,5
"other",38,3
"other",53,7
"other",92,42
"other",155,1
