"tag","day","rate"
"other",-113,6
"pos",-11,10
"pos",-9,11
"other",-6,6
"other",-5,18
"other",-3,6
"other",-3,11
"pos",-3,8
"other",-1,75
"other",0,15
"pos",0,2
"pos",1,6
"pos",1,11
"other",1,8
"pos",1,19
"other",1,1
"other",2,3
"pos",2,13
"pos",3,15
"poor",3,2
"other",4,7
"neg",4,44
"other",4,5
"other",5,3
"other",5,25
"neg",5,8
"pos",6,12
"other",6,4
"other",8,45
"other",8,1
"pos",8,11
"other",9,0
"other",10,5
"other",12,69
"poor",12,6
"pos",16,5
"other",21,7
"pos",39,3
"other",52,21
"other",53,0
"other",105,5
"pos",157,12
