"tag","day","rate"
"other",-145,10
"other",-80,11
"other",-23,29
"other",-21,8
"other",-13,5
"other",-7,100
"poor",-1,25
"other",0,7
"pos",0,19
"neg",0,11
"pos",0,4
"pos",0,12
"poor",0,5
"poor",0,2
"poor",0,8
"other",0,4
"pos",0,7
"other",0,37
"poor",0,6
"other",0,9
"neg",0,6
"poor",0,8
"pos",1,14
"pos",1,7
"pos",1,5
"poor",1,15
"other",1,23
"other",1,9
"poor",1,5
"other",1,45
"pos",1,8
"other",1,0
"other",1,1
"pos",1,7
"pos",1,12
"pos",2,6
"pos",2,25
"other",2,10
"poor",2,12
"poor",2,14
"other",2,7
"other",2,-40
"other",2,4
"other",2,3
"pos",3,5
"pos",3,16
"pos",3,6
"neg",3,4
"other",3,23
"other",3,9
"pos",3,0
"pos",4,12
"other",4,34
"other",4,9
"neg",4,2
"other",4,9
"other",5,5
"neg",5,2
"other",5,3
"other",6,3
"other",6,9
"pos",6,1
"other",6,22
"other",7,11
"other",7,9
"other",8,31
"other",14,2
"pos",14,2
"other",16,6
"other",18,79
"other",21,0
"pos",22,6
"poor",23,3
"pos",25,3
"other",27,26
"neg",28,15
"other",31,3
"pos",44,4
"poor",47,5
"other",119,42
"pos",126,12
"other",128,1
"other",137,1
"pos",176,9
