"tag","day","rate"
"other",-312,4
"other",-308,3
"other",-300,17
"poor",-283,1
"other",-277,4
"other",-274,14
"other",-262,34
"other",-249,21
"other",-245,10
"other",-163,39
"other",-163,0
"other",-163,12
"other",-135,9
"other",-120,18
"other",-119,17
"other",-114,31
"other",-94,14
"other",-44,9
"other",-43,0
"other",-15,34
"other",-14,0
"other",-12,53
"other",-5,4
"other",-3,2
"other",-1,2
"other",-1,0
"other",0,7
"other",0,15
"pos",0,14
"pos",0,29
"pos",0,1
"other",0,3
"pos",0,7
"other",0,4
"poor",0,7
"pos",0,3
"pos",0,15
"poor",0,10
"neg",1,22
"poor",1,1
"pos",1,28
"poor",1,0
"pos",1,8
"other",1,5
"other",1,12
"other",1,18
"other",1,15
"other",1,-30
"other",1,5
"other",2,8
"poor",2,8
"other",2,13
"other",2,8
"neg",2,23
"other",2,11
"other",2,6
"other",2,91
"pos",2,6
"pos",2,1
"other",3,4
"neg",3,-10
"poor",3,3
"pos",3,14
"poor",3,5
"pos",3,8
"poor",3,4
"other",4,2
"other",4,7
"poor",4,8
"pos",4,3
"pos",4,2
"pos",4,7
"other",4,21
"other",4,30
"other",4,7
"other",5,9
"other",5,3
"other",5,2
"other",5,2
"pos",6,8
"poor",7,10
"other",7,1
"other",7,5
"pos",8,12
"other",9,3
"other",10,10
"other",11,2
"poor",14,11
"other",16,1
"pos",16,11
"pos",17,1
"other",17,4
"other",19,1
"other",19,18
"poor",19,3
"other",19,0
"other",19,46
"neg",21,4
"other",27,26
"other",36,0
"neg",36,0
"pos",41,3
"other",-299,6
"other",-296,6
