"tag","day","rate"
"other",-44,27
"other",-41,8
"other",-41,30
"other",-9,100
"other",-8,8
"other",-4,6
"other",-3,10
"other",-3,68
"other",-3,24
"other",-2,54
"other",-1,9
"other",-1,5
"other",-1,0
"other",-1,4
"other",-1,10
"other",-1,3
"pos",-1,24
"pos",0,24
"pos",0,12
"pos",0,10
"other",0,0
"other",0,5
"pos",0,4
"other",0,46
"other",0,0
"other",0,35
"pos",0,28
"pos",0,11
"pos",0,13
"pos",0,1
"pos",0,1
"pos",0,20
"other",0,1
"pos",0,1
"pos",0,22
"other",0,18
"other",0,2
"other",0,11
"other",0,83
"other",1,7
"pos",1,3
"pos",1,26
"poor",1,23
"pos",1,24
"poor",1,3
"other",1,7
"pos",1,17
"poor",1,12
"poor",1,1
"poor",1,9
"neg",1,0
"pos",1,6
"pos",1,38
"other",1,4
"pos",1,10
"neg",1,24
"pos",1,9
"pos",1,2
"other",1,1
"neg",1,38
"other",1,26
"pos",1,5
"pos",1,14
"pos",1,0
"pos",1,3
"neg",1,0
"pos",1,8
"pos",1,13
"other",1,29
"neg",1,16
"neg",1,9
"other",1,9
"poor",1,18
"poor",2,6
"poor",2,11
"other",2,2
"other",2,17
"pos",2,8
"pos",2,15
"poor",2,17
"pos",2,7
"other",2,55
"pos",2,3
"pos",2,12
"other",2,79
"other",2,12
"other",2,13
"other",2,6
"pos",2,18
"other",2,1
"other",2,8
"pos",2,8
"poor",2,5
"other",2,56
"other",2,18
"other",2,5
"other",2,43
"other",2,43
"pos",2,32
"other",2,16
"pos",2,29
"pos",2,6
"other",2,62
"other",2,3
"other",2,-20
"other",2,23
"other",2,6
"other",2,11
"other",2,42
"other",2,3
"other",2,0
"pos",2,11
"other",2,31
"other",2,13
"pos",3,72
"pos",3,42
"other",3,-10
"other",3,73
"other",3,17
"other",3,34
"other",3,0
"other",3,36
"neg",3,0
"other",3,32
"other",3,8
"other",3,15
"pos",3,26
"neg",3,1
"other",3,-80
"other",3,0
"other",3,57
"pos",4,8
"pos",4,2
"pos",4,19
"neg",4,-10
"pos",4,19
"other",4,13
"other",4,38
"other",4,6
"other",4,12
"other",4,10
"other",4,9
"other",5,0
"neg",5,0
"pos",5,23
"other",5,93
"pos",5,11
"other",5,12
"other",5,6
"other",5,55
"other",5,11
"pos",5,3
"pos",6,5
"pos",6,11
"other",6,12
"pos",6,29
"other",6,75
"other",6,36
"other",6,0
"pos",6,2
"pos",6,28
"pos",7,8
"other",8,29
"other",8,3
"pos",8,0
"other",8,54
"other",8,3
"neg",8,59
"other",8,0
"poor",8,14
"other",8,9
"pos",8,2
"other",8,1
"neg",8,61
"other",8,17
"neg",9,6
"pos",9,49
"poor",9,22
"poor",9,37
"pos",9,16
"neg",9,0
"pos",9,12
"pos",9,17
"neg",9,26
"pos",9,20
"other",9,4
"other",10,0
"other",10,7
"pos",10,25
"other",10,40
"other",10,10
"pos",11,0
"pos",11,1
"pos",11,25
"other",12,97
"other",12,34
"pos",12,9
"other",12,4
"other",12,43
"pos",12,18
"other",12,8
"pos",13,30
"other",13,16
"neg",13,15
"other",13,7
"other",13,4
"other",14,4
"pos",14,0
"other",14,37
"pos",15,16
"pos",15,21
"other",15,18
"other",15,33
"pos",16,26
"other",16,13
"other",16,25
"pos",16,24
"other",16,-20
"pos",16,9
"other",16,1
"pos",17,1
"poor",17,15
"poor",17,5
"other",17,10
"other",17,24
"other",17,4
"other",18,12
"other",18,0
"pos",18,18
"other",19,15
"other",24,8
"other",24,2
"other",24,6
"other",26,11
"pos",27,15
"poor",29,6
"other",35,79
"pos",37,0
"other",38,16
"neg",39,0
"pos",45,9
"other",55,20
"other",55,32
"other",55,9
"poor",56,-20
"other",57,11
"poor",57,4
"neg",59,-10
"other",65,10
"other",67,15
"other",82,13
"neg",85,0
"other",92,18
"other",92,35
"other",92,19
"other",93,10
"other",93,9
"other",94,2
"other",102,13
"other",102,2
"other",105,9
"other",105,3
"other",107,-10
"other",107,29
"other",108,66
"other",108,5
"pos",108,16
"other",110,87
"other",111,8
"other",119,32
"other",129,4
"other",132,21
"other",141,40
"other",143,9
"other",143,7
"other",143,21
"other",144,14
"other",145,100
"neg",148,-30
"neg",148,22
"neg",148,0
"neg",149,9
"other",152,25
"other",194,4
"other",201,15
"other",213,83
"other",215,15
"other",215,55
"other",217,5
"other",222,1
"other",223,81
"pos",227,50
"other",-133,77
"other",-133,39
"other",-133,1
"other",-133,14
"other",-133,16
"other",-132,0
"other",-132,8
"other",-132,47
"other",-132,2
"other",-132,10
"other",-132,3
"other",-122,31
"pos",-121,51
"other",-120,30
"other",-120,41
"other",-119,14
"other",-117,13
"pos",-116,29
