"tag","day","rate"
"other",-105,17
"other",-102,10
"other",-102,8
"other",-70,10
"other",-42,17
"other",-29,100
"other",-17,3
"other",-16,24
"other",-9,9
"other",-3,6
"poor",-2,7
"other",0,12
"poor",0,3
"other",0,9
"poor",0,3
"other",0,43
"pos",0,33
"pos",0,11
"other",0,39
"other",0,11
"other",1,-50
"poor",1,3
"other",1,5
"other",1,0
"other",1,1
"other",1,8
"other",1,0
"other",1,5
"pos",1,5
"pos",1,6
"other",1,6
"other",1,4
"other",1,8
"pos",2,21
"neg",2,-50
"other",2,7
"pos",2,6
"other",2,5
"pos",2,3
"other",2,23
"other",2,32
"other",2,19
"pos",3,10
"other",3,5
"other",3,5
"pos",3,9
"other",3,12
"other",3,20
"neg",3,29
"other",4,33
"other",4,7
"poor",4,13
"other",4,8
"other",5,33
"other",5,9
"other",5,4
"other",6,15
"other",6,1
"other",6,12
"other",6,8
"other",6,7
"other",8,61
"other",8,15
"other",9,22
"pos",9,42
"pos",10,5
"other",10,9
"pos",11,13
"other",11,46
"pos",12,10
"other",12,0
"other",12,6
"other",12,4
"pos",12,24
"pos",13,8
"pos",13,0
"other",14,27
"pos",15,1
"other",16,34
"other",16,14
"other",18,10
"other",21,16
"other",22,28
"neg",23,-10
"other",37,11
"other",51,0
"other",85,18
"other",-237,6
