"tag","day","rate"
"other",-27,13
"pos",-1,0
"poor",-1,12
"other",0,5
"neg",0,14
"neg",0,12
"other",1,5
"neg",1,3
"poor",1,0
"pos",1,6
"pos",1,2
"other",2,8
"pos",2,43
"pos",2,2
"other",2,5
"neg",2,1
"other",2,4
"poor",2,2
"other",2,4
"poor",2,1
"neg",3,12
"other",3,12
"pos",3,2
"other",3,2
"pos",3,5
"poor",4,0
"other",4,39
"other",4,6
"other",4,0
"other",4,8
"other",6,22
"pos",6,0
"other",6,5
"other",6,5
"other",6,3
"other",7,10
"other",8,7
"neg",8,9
"pos",8,13
"other",9,3
"poor",11,2
"poor",11,1
"pos",14,9
"poor",15,5
"pos",15,12
"neg",21,2
"other",24,0
"neg",25,1
"other",28,2
"pos",87,6
"neg",107,15
"other",109,3
"pos",110,5
"poor",187,6
"neg",267,16
"other",298,34
