"tag","day","rate"
"other",-172,19
"other",-126,14
"other",-97,5
"other",-96,16
"other",-87,38
"other",-85,5
"other",-80,55
"other",-76,5
"other",-69,3
"other",-68,0
"other",-22,100
"other",-21,18
"other",-21,4
"other",-20,1
"other",-19,0
"other",-17,6
"other",-13,29
"other",-13,26
"other",-7,25
"other",-7,13
"other",-7,24
"other",-7,11
"other",-7,17
"pos",-7,5
"other",-6,7
"pos",-6,45
"pos",-6,6
"other",-5,36
"other",-5,49
"other",-3,5
"poor",-1,13
"poor",-1,7
"pos",-1,13
"other",0,9
"pos",0,12
"other",0,3
"poor",0,6
"pos",0,1
"pos",0,6
"poor",0,9
"poor",0,2
"poor",0,4
"other",0,2
"pos",0,4
"pos",0,16
"poor",0,2
"pos",0,13
"poor",0,8
"pos",0,3
"pos",0,7
"other",0,0
"pos",0,15
"other",0,9
"poor",1,16
"other",1,11
"other",1,2
"other",1,7
"other",1,9
"poor",1,3
"other",1,0
"other",1,0
"other",1,17
"pos",1,23
"other",1,1
"pos",2,13
"other",2,4
"other",2,12
"other",2,24
"poor",2,2
"pos",2,3
"neg",2,8
"pos",2,14
"pos",2,10
"other",2,20
"neg",2,2
"other",2,7
"neg",2,3
"other",2,24
"other",2,5
"other",3,4
"pos",3,6
"other",3,0
"other",3,16
"other",3,5
"pos",3,15
"other",3,0
"poor",3,2
"neg",3,0
"other",3,20
"pos",3,2
"pos",3,4
"other",3,31
"neg",3,6
"other",3,8
"neg",3,11
"pos",3,11
"other",3,18
"pos",3,5
"other",3,8
"other",3,20
"pos",3,2
"pos",3,16
"poor",4,3
"other",4,16
"other",4,5
"other",4,11
"other",4,15
"pos",4,22
"pos",4,10
"pos",4,7
"other",4,34
"other",4,4
"other",4,17
"other",4,6
"other",4,14
"other",4,2
"other",5,9
"other",5,17
"other",5,17
"other",5,0
"other",5,6
"other",5,4
"other",5,0
"other",6,13
"other",6,1
"other",6,7
"other",6,6
"other",6,16
"other",6,5
"other",6,33
"other",6,4
"pos",6,10
"other",6,5
"other",7,5
"pos",7,5
"pos",7,6
"other",7,8
"other",7,11
"other",7,2
"other",7,10
"other",7,1
"other",8,9
"other",8,55
"other",8,12
"other",8,3
"other",8,4
"other",8,1
"other",8,5
"other",8,5
"pos",8,3
"pos",9,11
"other",9,5
"other",9,19
"other",9,4
"other",9,5
"neg",10,10
"other",10,9
"other",10,1
"other",10,23
"pos",10,6
"other",10,3
"other",11,8
"pos",11,11
"pos",11,10
"other",11,2
"pos",12,2
"other",12,36
"pos",13,7
"other",14,13
"other",14,31
"pos",16,6
"other",16,0
"other",16,1
"other",17,0
"other",17,2
"other",17,0
"other",17,41
"other",18,3
"other",20,2
"other",21,5
"other",22,26
"other",22,46
"other",22,1
"other",23,4
"poor",23,7
"other",23,32
"other",24,18
"other",24,14
"other",24,7
"other",25,5
"other",26,21
"other",26,5
"other",31,3
"other",43,2
"poor",46,6
"other",53,20
"other",53,7
"other",53,2
"other",54,2
"other",55,0
"other",57,3
"other",74,21
"other",87,8
"other",88,6
"other",90,26
"other",90,10
"other",92,17
"neg",98,20
"other",100,12
"other",107,15
"other",116,7
"other",117,2
"other",117,0
"other",126,4
"other",129,2
"other",132,15
"other",142,14
"other",151,2
"other",168,9
"pos",169,13
"other",173,14
"other",175,93
"other",177,5
"other",-160,9
