"title","author","date","response"
"81","[負雷] 第七傳人  很雷","san5566"," 1/02","30"
"82","[討論] 國片一年之初","maydaymylife"," 1/02","2"
"83","Re: [贈票] 無人出席的告別式特映會（一人中兩人看）","gary27"," 1/02",""
"84","[請益] 諾亞方舟最後的蛇皮","DragonQuest"," 1/02","2"
"85","[負雷]《闇魔怨》記得不是按摩院嘿~ ","bradcool"," 1/02","16"
"86","[情報] 地心引力免費看(Google Play電影)","Vett"," 1/02","8"
"87","Re: [討論] 2014年你又看了那些電影呢?","xpeoplex"," 1/02","3"
"88","Re: [片單] 爛到會哭笑不得的爛片","vegatom"," 1/02","6"
"89","[新聞] 陸2014電影票房1524億　海外賺不到百億","awsd"," 1/02","4"
"90","[討論] 關於多啦A夢未來世界（雷）","plsmaop"," 1/02","3"
"91","[好雷]《大英雄天團》，我會永遠在你心裡。 ","a122239"," 1/02","19"
"92","[問片] 小時候的鬼（港？）片，衣服長出手腳。","pisceskatt"," 1/02","8"
"93","[好雷]醫手遮天觀後感上集-來自醫學院師生的反思 ","hbtsai"," 1/02","2"
"94","[好雷]醫手遮天觀後感中集-來自醫學院師生的反思 ","hbtsai"," 1/02",""
"95","[好雷]醫手遮天觀後感下集-來自醫學院師生的反思","hbtsai"," 1/02",""
"96","[請益] 大英雄天團 中文？英文？ 配音。","rowen022"," 1/02","14"
"97","[微負雷]  第七傳人","TARONHSAU"," 1/02","17"
"98","[請益] 大英雄天團(小雷)","shiou"," 1/02","8"
"99","[請益] 請問一部日片","ring33"," 1/02","1"
"100","[請益] 大英雄天團 博物館驚魂3","jay121133"," 1/02","35"
"101","[ 好雷] 冬日甦醒：落寞的貴族","artreborn"," 1/02","2"
"102","[討論] 本月「回到未來」播出時間","SeungYeon"," 1/02","12"
"103","［問片］之前在hbo看過的一部","uller"," 1/02","2"
"104","[請益] 金髮男的博擊片","ai456ai"," 1/02","14"
"105","[片單] 與鐵路有關的片","Yijhen0525"," 1/02","47"
"106","[負雷]瞞天殺機Serena惡女蛇蠍力道不足! ","beareni"," 1/02",""
"107","[負無雷] 瞞天殺機真的是......","eatcharlie"," 1/02","9"
"108","[問片] ","kuimei"," 1/02",""
"109","Fw: [新聞] 黃秋生態度丕變　反嗆港獨份子「傻逼」","awsd"," 1/02",""
"110","[討論] 近10年新年檔期電影回顧之私心推薦片單！","ck0413"," 1/02",""
"111","[新聞] 《玩具3》劇本祕辛　原始設定在台灣","aaf"," 1/02","14"
"112","[請益] 想請問「人工智慧」的小男孩","behold0815"," 1/02","18"
"113","[新聞] 「叮噹」配音員林保全逝世","Emerson158"," 1/02",""
"114","[討論] 半獸人的強度＆哈比人關係圖","PrinceBamboo"," 1/02","41"
"115","[情報] StarMovie 自由之心 播出時間","EijiHoba"," 1/02","9"
"116","[好雷] 後方謀殺案(Murder on the Home Front)","ifor"," 1/02","1"
"117","Re: [新聞] 山姆雷米首向影迷謝罪：我搞砸了蜘蛛人3","Dong0129"," 1/02","19"
"118","[新聞] 黃政民主演的「國際市場」即將突破500萬","pf775"," 1/02",""
"119","[討論] 迪士尼動畫的片前短片","ohlong"," 1/02","20"
"120","[討論] 6分鐘看完2014年電影","lpbrother"," 1/02","3"
"121","Fw: ＜IN THE HERO＞－－特攝電影幕後的英雄傳記","weepchild"," 1/02","5"
"122","[爛雷] 瞞天殺機 畫面好看不代表電影好看","neverlight"," 1/02","5"
"123","[討論] 我的2014年終榜","MrTen"," 1/02","19"
