"title","author","date","response"
"10229","[請益] 《絕地救援》預告 星際效應前","Davidfouine"," 6/08","57"
"14273","[新聞] 《絕地救援》釋出全新預告","arsl400"," 8/08","7"
"15310","[討論] 絕地救援 第二支預告","arsl400"," 8/20","17"
"15331","[討論] 火星任務為何要翻成絕地救援????","kyouya"," 8/20","19"
"15838","[新聞] 《絕地救援》 麥特戴蒙火星種馬鈴薯","amix"," 8/24","14"
"17402","[情報] 《絕地救援》在多倫多影展廣受好評","w223357"," 9/12","17"
"17804","[贈票] 暢銷小說改編【絕地救援】鄉民搶先看！","hippome"," 9/18","爆"
"17850","[情報] 【絕地救援】行銷影片 + 預告片","Wangisback"," 9/19","2"
"18121","[新聞]《絕地救援》獲滿堂彩 好評爆棚譽年度最佳","neihu"," 9/23","12"
"18188","[超好雷]  絕地救援(無雷)","zzz41432"," 9/24","32"
"18199","[好雷] 絕地救援 (無雷)","profound"," 9/24","4"
"18201","[無雷] 絕地救援試映","spartaucs896"," 9/25","7"
"18215","[新聞] 《星際》太累 麥特戴蒙稱《絕地救援》好","dadamoon"," 9/25","31"
"18496","[新聞] 火星有水導演搶先知 絕地救援來不及改","zkow"," 9/30","7"
"18517","[ 普雷] 絕地救援試映觀後感","jigger5566"," 9/30","7"
"18519","[討論] 絕地救援小說觀後感","MOAI"," 9/30","9"
"18522","[好雷] 絕地救援觀後小感","everyonebank"," 9/30","8"
"18534","Re: [ 普雷] 絕地救援試映觀後感","vince4687"," 9/30","6"
"18535","[好雷] 絕地救援 The Martian","machine139"," 9/30","13"
"18558","[  雷] 絕地救援之我中獎了","loveleexx","10/01","4"
"18574","[請益] 絕地救援要看3D還是普通數位？","tanjita321","10/01","14"
"18587","[好雷]絕地救援(火星任務) ","wittmann4213","10/01","14"
"18589","[普雷] 絕地救援 ","bjqsdootue","10/01","5"
"18590","[好雷]絕地救援 The Martian","sky21","10/01","5"
"18591","[好雷]  絕地救援 喜劇片","KeNji6029","10/01","3"
"18594","[好雷] 絕地救援，可惜少了顆排球 ","ckshchen","10/01","15"
"18598","[普好雷]《絕地救援》，火星生存指南。 ","a122239","10/01","5"
"18603","[請益] 絕地救援值得看4DX嗎？","hydrophobic","10/01","8"
"18604","[請益] 絕地救援片中的歌曲？","llcjhcom","10/01","5"
"18605","[潮雷] 絕地救援 不錯看","peter080845","10/01","24"
"18612","[無雷] 絕地救援.雷導的回春作? 或是晚期風格?","berlinch2000","10/01","3"
