"title","author","date","response"
"598","[情報] 皮克斯2015年全新創作《腦筋急轉彎》 ","shanyaochung"," 1/11","16"
"616","Re: [情報] 皮克斯2015年全新創作《腦筋急轉彎》 ","Howard61313"," 1/11","18"
"4817","[情報] 皮克斯2015年新作 腦筋急轉彎 第二支預告","system303179"," 3/16","17"
"7667","Fw: [討論] 復仇者聯盟2與腦筋急轉彎合作短片","eapcy"," 4/30","4"
"7774","[討論] 《腦筋急轉彎》看復仇者聯盟2的反應","arsl400"," 5/02","2"
"8949","[新聞] 《腦筋急轉彎》好評 有望問鼎奧斯卡","iam168888888"," 5/20","4"
"9817","[討論] 皮克斯-腦筋急轉彎的評價出來了","chris3381"," 6/01","22"
"10558","[新聞] 皮克斯：腦筋急轉彎是我們拍過最難的動畫","sampsonlu919"," 6/13","12"
"10874","Re: [討論] 皮克斯-腦筋急轉彎的評價出來了","lovemelissa"," 6/17","10"
"11046","[好雷] 腦筋急轉彎心得(有雷)","A12700259"," 6/19","7"
"11087","[無雷] Inside Out(腦筋急轉彎):Pixar回來了","yuhung"," 6/20","39"
"11230","[好雷] Inside out 腦筋急轉彎 ","yunyun85106"," 6/22","14"
"11637","[新聞] 腦筋急轉彎台版配音:陳意涵+許瑋甯","debb0128"," 6/29",""
"11707","[大好雷] Inside Out 腦筋急轉彎","supercowb"," 6/30","5"
"12082","[新聞] 腦筋急轉彎好夯 5天假期吸金力居冠","iam168888888"," 7/06","3"
"12154","[好雷] inside out 腦筋急轉彎","palc"," 7/08","11"
"12205","[新聞] 導演「出賣」女兒 成就「腦筋急轉彎」","sony577"," 7/09",""
"12932","[好雷] 腦筋急轉彎：正向思考的盲點 ","wil891607"," 7/18","2"
"13201","[好雷] 《腦筋急轉彎》剖析情感腦海","abaw0522"," 7/23","2"
"13221","[好雷] 腦筋急轉彎(內含劇情大雷) ","Julinanna"," 7/23","7"
"13535","[新聞] 《腦筋急轉彎》分鏡 台灣囝仔畫的","B4"," 7/28","11"
"13603","[好雷]腦筋急轉彎Inside Out","onepiecesea"," 7/29","6"
"13627","[好雷] 腦筋急轉彎-不愧為皮克斯最強原創電影","boriswang"," 7/29","2"
"13647","[好雷] Inside out/腦筋急轉彎/玩轉腦朋友","albert7387"," 7/30","2"
"13717","[請益] 腦筋急轉彎 3D? 數位?","prn258"," 7/31","3"
"13732","[好雷] 腦筋急轉彎Inside Out－顛覆你的腦中世界","VCube"," 7/31","33"
"13747","[好雷] 腦筋急轉彎－37顆彩蛋總整理！","VCube"," 7/31","19"
"13773","[好雷] Inside Out腦筋急轉彎-微妙的情緒變化","pttpttlin"," 8/01","6"
"13775","[好雷] 腦筋急轉彎 ","zero4"," 8/01","21"
"13784","[請益] 腦筋急轉彎","Sam0907"," 8/01","25"
"13800","[好雷] 腦筋急轉彎","jabawock"," 8/01","9"
"13815","[好雷]腦筋急轉彎：幸福快樂不只有快樂","kodaayu"," 8/01","5"
"13820","[好無雷] 腦筋急轉彎-適合每個人的故事","macrose"," 8/01","2"
"13842","[好雷] 腦筋急轉彎 Inside Out ","spicysmall"," 8/02",""
"13847","[超好雷] 腦筋急轉彎-我們都該擁有各種情緒!!!  ","leeyn"," 8/02","40"
"13889","[微好雷] 《腦筋急轉彎》，在腦中開場憂歡派對。","a122239"," 8/02","12"
"13893","[閒聊] 腦筋急轉彎的人物造型","CCMC"," 8/02","7"
"13928","[請益] 腦筋急轉彎","xxpin"," 8/03","6"
"13933","[好雷] 腦筋急轉彎，某種程度的內心戲","florakh85"," 8/03","5"
"13946","[好雷] 腦筋急轉彎 ","YMSH205"," 8/03","5"
"13955","Fw: [新聞] 日版《腦筋急轉彎》討厭花椰菜神隱！","filmwalker"," 8/03","22"
"13997","[好雷] 腦筋急轉彎 Inside Out","fountainB"," 8/04","2"
"14008","[好雷] 腦筋急轉彎 皮克斯的新巔峰","Sam0907"," 8/04","3"
