"title","author","date","response"
"4606","[討論] Hotel Transylvania 2 尖叫旅社2 預告","debb0128"," 3/13","2"
"10915","[討論] 「尖叫旅社2」最新預告","beckseaton"," 6/17","12"
"17474","[贈票] 上傳影片抽尖叫旅社2電影票喔！","OGX"," 9/13",""
"18288","[好無雷] 尖叫旅社2 --- 單身請戴墨鏡","johnnyjaiu"," 9/26","18"
"18333","[普雷] 尖叫旅社2","dreamerkimo"," 9/27","8"
"18340","[好雷] 尖叫旅社2二刷3D心得(前半無雷)+笑梗詢問","johnnyjaiu"," 9/27","6"
"18347","[新聞] 「尖叫旅社2」全美大賣 亞當山德勒翻身？","fireguard119"," 9/27","26"
"18394","[好無雷]《尖叫旅社 2》小孩的怪物圖鑑 大人的育兒經！","sssting"," 9/28","4"
"18777","[好雷] 尖叫旅社2","seeingstarri","10/03","4"
"18826","[請益] 尖叫旅社沒看過第一集？","tammy0202","10/04","6"
"18928","[好雷] 尖叫旅社2","blueskydoor","10/05","1"
"19096","[選片] 絕地救援 跟 尖叫旅社2","L23103234","10/08","10"
"19104","[選片] 潘恩 跟 尖叫旅社2","hpss3234","10/08","3"
"19154","[選片] 尖叫旅社與高年級實習生","as25321299","10/09","10"
