"title","author","date","response"
"7730","[新聞] 電影<角頭>前進校園講座","paranoia5201"," 5/01",""
"9161","[新聞] <角頭>前導預告 (非原標題)","kzzoz80"," 5/23",""
"10508","[新聞] 豬哥亮辭《角頭》凸顯小鬼演藝路波折","conpo"," 6/12","19"
"11786","[贈票] 活動贈票,抽取角頭電影特映會40張","mattpikachu"," 7/02","1"
"11867","[贈票]  7.7《角頭》台中場 特映會（已送出）","tuhsiaofu"," 7/03","1"
"12025","Fw: [新聞] 「角頭」暫列限制級 孫鵬喊可惜","aaf"," 7/05",""
"12045","[新聞] 《角頭》列限制級！小鬼：遇到大白鯊才會","whj0530"," 7/06",""
"12209","[普 雷]  角頭 ，演技最自然的就是...","kome808"," 7/09","15"
"12231","[  雷] 角頭.","ceca"," 7/09","12"
"12251","[討論] 角頭 比艋舺好看多了 (雷)","kaouleah"," 7/09",""
"12268","[負雷] 角頭 ","minche"," 7/09","14"
"12269","[大負雷] 角頭 史詩級爛片","willyhsuan"," 7/09","7"
"12272","[負雷] \"不應該\"看的角頭  (無雷)","asd25"," 7/09","5"
"12273","[好雷] 角頭心得 編劇你睡了嗎！","jojopuff"," 7/09","11"
"12275","[無雷] 角頭 ","boyen3"," 7/09","26"
"12279","[  負雷] 去你x角頭 心得以附上","flame2503"," 7/09","7"
"12282","[ ??雷]  不知道怎麼說的角頭(無雷)","lucasyao"," 7/09","9"
"12285","Re: [ ??雷]  不知道怎麼說的角頭(無雷)","ksten1688"," 7/09",""
"12304","[ 慘 雷] 角頭 觀後感","dempkimo"," 7/10",""
"12311","[討論] 為何角頭的文章那麼多?","ksten1688"," 7/10",""
"12319","Re: [討論] 為何角頭的文章那麼多?","keroro0213"," 7/10","7"
"12330","Re: [討論] 為何角頭的文章那麼多?","chandler0419"," 7/10",""
"12360","[超級大爛雷] 角頭，千萬不要浪費生命去看的國片","appleheart"," 7/10","85"
"12373","Re: [超級大爛雷] 角頭，千萬不要浪費生命去看的國片","rock971230"," 7/11","26"
"12375","Re: [超級大爛雷] 角頭，千萬不要浪費生命去看的國片","fantasypig"," 7/11","7"
"12386","[絕對劣雷] 角頭 ","NBHD"," 7/11","11"
"12387","[新聞] 「角頭」颱風熱賣 觀眾：第一次看電影這","chandler0419"," 7/11","8"
"12401","[劣雷] 角頭，請別浪費國片市場能量 ","matinjf"," 7/11","7"
"12407","[新聞] 《角頭》首日強吸黑衣人 王陽明殺出1400","whj0530"," 7/11","52"
"12412","Re: [新聞] 《角頭》首日強吸黑衣人 王陽明殺出1400","iphone8ss"," 7/11","36"
"12413","Re: [新聞] 《角頭》首日強吸黑衣人 王陽明殺出1400","winall"," 7/11",""
"12417","[討論] 看角頭不如看小小兵","chalie740305"," 7/11","7"
"12424","[新聞] 小小兵兩天賣破5千萬 角頭撂人車拚","iam168888888"," 7/11","7"
"12465","[好雷] 角頭","aje04m3"," 7/12","52"
"12492","[討論] 為何角頭文變少?","obscenaids"," 7/12","10"
"12501","[好雷] 角頭觀後感","bowlingliu"," 7/12","2"
"12504","[微好雷] 角頭其實還不錯","ritaj"," 7/12","9"
"12514","[普雷] 號稱「寫實」的黑道電影《角頭》","doggo"," 7/12","9"
"12520","[討論] 角頭觀眾感動得哭回家","bubuda"," 7/13","6"
"12523","Re: [討論] 角頭觀眾感動得哭回家","director0624"," 7/13","4"
"12528","[ 負雷] 不期不待 是我角頭","simply5566"," 7/13","7"
"12572","[討論] 看過角頭的請進(雷)","MENGHSUANonu"," 7/13","6"
"12594","[好雷] 角頭難看在哪","shiftf1"," 7/14",""
"12639","[普雷]  角頭","PUTAIR"," 7/14",""
"12678","[新聞] 《角頭》票房旺 小鬼Kuso「破億要泛舟」","whj0530"," 7/15","X2"
"12689","[討論] 角頭裡面孫鵬帶的錶","xDpig"," 7/15","3"
"12690","[普雷] 角頭","rugalex"," 7/15","5"
"12715","[討論] 如果你是角頭導演，你會找誰演？","the666"," 7/15","18"
"12808","[討論] 關於角頭的海報","rugalex"," 7/17",""
"12953","[超好雷] 角頭，我只推薦好片","Minwoo0919"," 7/19","X1"
"12978","[好雷] 角頭,雖不及艋舺但還蠻好看. ","BillBuffett"," 7/19",""
"12982","[負雷] 中二過頭的角頭 ","fonkwei"," 7/19","25"
"13256","[大負雷]  角頭 (剪頭髮? 嘎頭~尬頭~~~ ","vvvccc1d"," 7/23","1"
"13339","[好雷] 角頭之命不夠用1","NX9999"," 7/25",""
"13344","[負雷] 角頭  生命該浪費在美好的事物上 ","a8794817"," 7/25","2"
"13441","[請益] 角頭真的那麼糟嗎??","beveragesman"," 7/26",""
"13466","Re: [請益] 角頭真的那麼糟嗎??","rugalex"," 7/27","2"
"13471","Re: [請益] 角頭真的那麼糟嗎??","mikiup0321"," 7/27","25"
"13482","Re: [請益] 角頭真的那麼糟嗎??","ckshchen"," 7/27","2"
"13484","Re: [請益] 角頭真的那麼糟嗎??","vvvccc1d"," 7/27","1"
"15270","Fw: [新聞] 金馬初選放榜　豬哥亮《角頭》遭淘汰","book8685"," 8/19","20"
"18237","[選片] 加州大地震 角頭 熊麻吉2 ","joanne3040"," 9/25","42"
"20035","[問片]小孩惡霸變好友和另一部跟銀幕大角頭相似","fup6456","10/23","4"
