"title","author","date","response"
"239","[討論] 災難片新作 \"加州大地震\" 中文預告","super1937"," 1/04","10"
"4462","Re: [討論] 災難片新作 \"加州大地震\" 中文預告","allenchen98"," 3/10","11"
"8012","[討論] 巨石強森《加州大地震》釋出全新預告","arsl400"," 5/06","29"
"8151","[討論] 《加州大地震》大家想看4D嗎？","Davidfouine"," 5/08","8"
"8624","Re: [討論] 災難片新作 \"加州大地震\" 中文預告","biotite"," 5/16","5"
"9044","[贈票] 【加州大地震】3D電影首映會贈票活動！","rainyday801"," 5/22","爆"
"9509","[普雷] 加州大地震(San Andreas)─加州最強一族 ","rosebyrne"," 5/28","25"
"9548","[微雷] 4DX贈票首映 加州大地震 簡單感想","mini183"," 5/29","7"
"9565","[好雷] 加州大地震San Andreas(無雷)","pttnowash"," 5/29","19"
"9574","[負雷] 加州大地震(San Andreas)","cloistrevoc"," 5/29","11"
"9577","[微好雷] 嗑電影：加州大地震","gys2"," 5/29","4"
"9579","[好雷] 加州大地震","CHENJD"," 5/29","12"
"9584","[普微雷] 加州大地震。當英雄遇上災難。","yeahwazzup"," 5/29","5"
"9588","[普雷] 加州大地震 ","CannonLake"," 5/29","2"
"9589","[普雷] 加州大地震 ","m19871006"," 5/29","8"
"9591","[請益] 加州大地震的幾個問題","pbwang1203"," 5/29","4"
"9602","[好雷] 加州大地震 ","eapcy"," 5/29","7"
"9605","[選片] 加州大地震 vs 瘋狂麥斯","needsun"," 5/29","37"
"9607","[普雷] 加州大地震San Andreas(慎入)","fireguard119"," 5/29","6"
"9609","[請益] 加州大地震 IMAX和4DX哪個好?","kyouya"," 5/29","9"
"9612","[大負雷] 俠盜獵車手六-加州大地震（含劇透）","george1218"," 5/29","6"
"9613","[普雷] 加州大地震","Golbez"," 5/29","8"
"9620","[微好雷] 加州大地震","KevinLow"," 5/30","14"
"9624","[普好雷] 加州大地震 ","TouchAgain"," 5/30","7"
"9637","[普好雷] 加州大地震 ","vvvv0o0vvvv"," 5/30","5"
"9638","[普雷]  加州大地震","MasterHsieh"," 5/30","15"
"9648","[選片] 加州大地震 vs 明日世界","ImMyFriend"," 5/30","23"
"9649","[請益] 加州大地震該看3d嗎?","rayray123"," 5/30","9"
"9652","[普雷] 加州大地震","smartchoice"," 5/30","5"
"9654","[選片] 加州大地震 vs 麻辣賤諜","LonyIce"," 5/30","45"
"9662","[普好雷] 加州大地震 地震版即刻救援? ","kyouya"," 5/30","8"
"9663","[討論] 典型的好萊烏公式災 \"爛\" 片 加州大地震","ksten1688"," 5/30",""
"9667","Re: [選片] 加州大地震 vs 麻辣賤諜","will131314"," 5/30","1"
"9675","[超好雷] 4DX加州大地震看就對了!!!","augusttenet"," 5/30","7"
"9680","[好雷] 加州大地震之活著真好 ","jeliz"," 5/30","12"
"9696","[普好雷]加州大地震 ","jajagood"," 5/31","6"
"9699","[好雷]加州大地震-爸爸真的很重要 ","pmivy7579"," 5/31","25"
"9704","[選片] 加州大地震 vs 哥吉拉","dakkk"," 5/31","10"
"9708","[普雷] 加州大地震 ","maxinehou"," 5/31","12"
"9721","[普雷] 加州大地震 ","Casio2"," 5/31","14"
"9726","[請益] 加州大地震看Dbox還是4DX好呢","hateself"," 5/31","7"
"9734","[無雷] 很難看的加州大地震","hosadavid"," 5/31","X4"
"9743","[請益] 加州大地震剛開始女孩的手機鈴聲","YYYuMan"," 5/31","4"
"9750","Re: [無雷] 很難看的加州大地震","horain"," 5/31","3"
"9755","[普好雷] 加州大地震之萬能強森","kobenash"," 6/01","5"
"9765","[好雷] 加州大地震","darkofpolo"," 6/01","16"
"9781","[好雷] 加州大地震","ckkh"," 6/01","6"
"9788","[負雷]加州大地震 不完全燃燒的災難片","colapola"," 6/01","4"
"9789","[新聞] 巨石強森吸睛又吸金 加州大地震熱賣","iam168888888"," 6/01","23"
"9807","[請益] 加州大地震、2012、明天過後、世界末日","Abieee"," 6/01","9"
"9815","[ 好雷] 加州大地震的雜談…","zzauber"," 6/01",""
"9833","[好雷] 整場無冷場的 加州大地震","dreamboyken"," 6/02","12"
"9839","Re: [請益] 加州大地震、2012、明天過後、世界末日","wohahala"," 6/02","34"
"9854","[請益] 4DX加州大地震 適合帶長輩看嗎？","Rubymail"," 6/02","9"
"9855","[負雷] 加州大地震應該取名2015 ","yorkbuster"," 6/02","2"
"9866","[討論] 加州大地震 比 明日世界 更爛番茄","ksten1688"," 6/02","9"
"9874","[爽雷] 4DX的加州大地震","hopeblue"," 6/03","5"
"9878","Re: [負雷] 加州大地震應該取名2015 ","wildbloodcat"," 6/03","2"
"9891","Re: [請益] 加州大地震、2012、明天過後、世界末日","m821014"," 6/03","3"
"9939","[新聞] 看加州大地震陰影？騎士球星怕打勇士主場","sampsonlu919"," 6/04","3"
"9967","[選片] 加州大地震 V.S 梅爾吉勃遜之英雄本色","ijk77692"," 6/04","9"
