"title","author","date","response"
"22553","[請益] 為什麼追婚日記是GO LALA GO？","Hanedas","12/03","8"
"22560","[普雷] 《追婚日記》，林依晨現在是職場女性代服","a122239","12/03","4"
"22729","[普雷]追婚日記-姊要先開會，還是先約會？","tp6ru04jp7","12/05",""
"22732","[好雷] 追婚日記比少女時代好看","waterlinda","12/05","7"
"22789","追婚日記片尾曲","zozozozo","12/06","3"
"22825","[選片] 追婚日記  怪物的孩子","ggyy89442","12/07","30"
"22830","[請益] 追婚日記片尾","yetta","12/07","8"
"22855","[普雷] 追婚日記","tina411281","12/07","2"
"22876","[好雷] 追婚日記 (有劇情雷)","petitgrain","12/07","5"
"22951","[負雷]追婚日記 ","Devilfury","12/09","9"
"22961","[選片] 危機女王  追婚日記","ericugly","12/09","17"
"23140","[負雷] 《追婚日記》-台灣演員 陸資電影","ggeni","12/11","4"
"23209","[普雷] 穿著Prada的惡魔2.0：追婚日記","ITASA","12/13","1"
"23214","[好雷] 追婚日記 - 請問你30歲了嗎?","lovinit","12/13","14"
"23246","[負雷] 追婚日記 ","sazanami726","12/13","36"
"23418","[負雷] 追婚日記","fusu2260833","12/16","4"
"23459","[普雷] 追婚日記/杜拉拉追婚記Go+Lala ","athena950041","12/16","2"
"23706","[普雷] 追婚日記 ","breakingdown","12/19","1"
"23864","[普雷] 追婚日記","biscuitle","12/21","1"
"23912","[負雷]廣告MV非電影追婚日記 ","FANTERRY","12/21",""
"23962","[負雷]  追婚日記，一部不是很喜歡的作品","TARONHSAU","12/22","5"
"24333","[  雷] 追婚日記之命中的那個妳","a9845862","12/27","2"
"24418","[  負雷] 追婚日記-觀後雜感","annie51439","12/28","8"
"24487","[新聞] 「追婚日記」持續發威 全台累積票房8300","sony577","12/30","10"
"24661","[負雷] 有點失望的追婚日記","Ncyu2"," 1/02","12"
"24879","[負雷]看完只有無言的-追婚日記 ","modelight"," 1/06","6"
"25605","[普雷] 追婚日記觀後感","candyaliceyo"," 1/18",""
